sinal,horizonte,r2_oos_pct,coef_full,t_full,p_full,n_meses,spread_vol,t_fm,p_fm,sig_bonferroni
Crowding(HHI),3,-0.104005102202365,0.0100351826114402,1.17047862152846,0.241819671472072,61,0.0122753115632949,2.71667095692645,0.00860373334678691,FALSE
CIO(nivel),3,-0.0983394339040267,-0.01513105386104,-0.968498372137751,0.332803583833673,54,0.0092282911383617,1.10415661581722,0.274513047376418,FALSE
CIO(magnitude-abs),3,0.123071837685729,0.124441125067596,5.65909831005693,1.53600051670355e-08,57,0.0218791939688993,2.44671640072499,0.0175808464431332,FALSE
FIT(nivel),3,-0.494083506502441,0.140046398714974,8.77165025914872,1.93166392265694e-18,24,0.00949895494772252,0.973886690943073,0.340244885245407,FALSE
FIT(magnitude-abs),3,1.5907724091124,0.269743072649559,15.1612927860771,1.43192279725213e-51,24,0.0136815292571237,1.77101336873103,0.0898115634293813,FALSE
Herding(nivel),3,0.0199802933036786,-0.0115774740409054,-2.33198059582216,0.0197118971777389,45,-0.0146102777826377,-3.16200518145143,0.0028369054314769,FALSE
Herding(magnitude-abs),3,0.0492376023971008,0.0414058513584263,4.52429975954817,6.09554003618663e-06,45,0.0168597804859769,4.98497509299707,1.01322768379467e-05,TRUE
Crowding(HHI),6,-0.114198343299021,0.00551998241954359,0.598288822968644,0.549652735746972,60,0.0137420345498342,3.83624336235831,0.000306529390689323,FALSE
CIO(nivel),6,-0.00977642147050872,0.0100358691722722,0.60260486952559,0.546776310332935,54,0.00304208233619406,0.455345026989151,0.650721024303409,FALSE
CIO(magnitude-abs),6,0.0778612839421045,0.120465834836524,5.12933912586787,2.92638355254574e-07,56,0.0188944277152243,2.94088445666141,0.00478012412406715,FALSE
FIT(nivel),6,0.772009931634032,0.136618692745246,10.0210266508198,1.44313789287682e-23,24,0.00413613331591933,0.518508275954663,0.609056542009606,FALSE
FIT(magnitude-abs),6,2.1711233453919,0.238365398007535,15.6960625300773,4.09812124102923e-55,24,0.00833345690478508,1.81937695729905,0.0818970439098811,FALSE
Herding(nivel),6,0.0181977732185534,-0.0123685337795168,-2.17140217087592,0.0299128453175309,45,-0.0159449345604767,-3.43429847804509,0.00130631378649537,FALSE
Herding(magnitude-abs),6,0.0207064983859362,0.0404149574700217,3.84903264185101,0.000118964768767845,45,0.00998558275525204,1.73606347812135,0.089551182635195,FALSE
Crowding(HHI),12,-0.162442489093917,0.006919610125061,0.804922512211837,0.420872362257154,58,0.0156799029000286,4.60127011297419,2.38927799579189e-05,TRUE
CIO(nivel),12,-0.000163502560801554,-0.00901045767124052,-0.584926651413999,0.558601721657781,52,0.00428449868985309,0.636850694890406,0.527070510848683,FALSE
CIO(magnitude-abs),12,0.0419561523692602,0.0863387128842497,4.01026459447764,6.08070403526889e-05,54,0.0176913560482962,3.24816361364211,0.00201824841574574,FALSE
FIT(nivel),12,0.0505779920564109,0.0647329531692153,5.480302831873,4.31045442898908e-08,24,7.42262364087984e-05,0.0105372581617563,0.991683507746863,FALSE
FIT(magnitude-abs),12,1.28205995124266,0.155047010530186,11.7815618642758,6.59097221917901e-32,24,0.00344460229064513,0.80828745930948,0.427206847322531,FALSE
Herding(nivel),12,0.0191422820626452,-0.0112065140419871,-2.29660239658695,0.0216523579669025,44,-0.0118881353918203,-1.65690523453198,0.104818538502714,FALSE
Herding(magnitude-abs),12,0.128663360866954,0.0539191455148482,5.99057479353387,2.12892505347603e-09,44,0.0184464006239699,3.79313918794899,0.000459993293723905,FALSE
