ticker,hhi_posse,ret_crash,ret_recup,vol_pos_crash,quintil_hhi
AALR3,0.0708698133887811,-0.571836353605617,0.243545748290833,0.0990920059939386,4
ABCB4,0.0376509381726513,-0.390142917899955,0.19959441262449,0.0884410106257034,3
ABEV3,0.0252179650894986,-0.332212829570319,0.347633856260026,0.0974035952432711,2
AGRO3,0.273239457011168,-0.10888545423601,0.488284556566973,0.103541003498522,5
ALPA3,0.117156076941975,-0.350277953974481,0.957861979582088,0.0849165983890756,4
ALPA4,0.0340052107628398,-0.352796769929039,0.813471456532804,0.0956677411061369,3
ALSO3,0.0142878072705598,-0.494200418330481,0.0966165413533833,0.0931068379663609,1
ALUP11,0.0255273762076333,-0.248747908560179,0.229292784164572,0.0559084937824138,2
ALUP3,0.260816518373752,-0.0649019351267077,-0.162511337222899,0.0356938938226988,5
AMAR3,0.0187488793832351,-0.656972406308213,0.480434683877603,0.173963119402808,2
ANIM3,0.0573306210971844,-0.483337848771862,0.887782025948919,0.127550810355622,4
APER3,0.128456133803767,-0.474035087719298,1.20346897931955,0.194178084735995,5
ARZZ3,0.02901439013619,-0.388557213930348,0.849199891510713,0.0750664633724646,2
AZEV4,0.273969187929238,-0.536170205515332,0.996484337523759,0.321772585734505,5
AZUL4,0.0162798907208256,-0.703847451906851,1.23931623931624,0.266549266734374,1
B3SA3,0.00606340983383733,-0.242892549408337,0.754780160817947,0.110371604005698,1
BBAS3,0.00713752937474091,-0.417331865981295,0.427153830932843,0.0754822328833951,1
BBDC3,0.016930387838872,-0.39814850575622,0.448636885800873,0.0871687439325743,1
BBDC4,0.00771594630301392,-0.366493542091066,0.471057583183857,0.0921781216859253,1
BBRK3,0.0474912956705946,-0.644820295983087,0.30952380952381,0.21581358832607,3
BBSE3,0.0165666057937334,-0.246864359436253,0.22952709638928,0.0856884616092156,1
BEEF11,0.27281959798935,-0.39625585023401,0.188630490956073,0.2710120874304,5
BEEF3,0.0500600742338793,-0.333612632693072,0.309241866181195,0.200466766381823,3
BIDI11,0.0344670759995172,-0.330010604453871,2.11649256093701,0.240031083502424,3
BIDI3,0.123345743851326,-0.318032786885245,2.17307692307692,0.245087096564424,5
BIDI4,0.0569118226858355,-0.336466165413534,2.1067044381492,0.247081951681875,4
BIOM3,0.980905816515794,-0.334426208718408,0.597616105283255,0.231872554399994,5
BKBR3,0.0698946222462611,-0.446210268948655,0.203090507726269,0.116082521386351,4
BMGB4,0.0187905903907656,-0.621989475974795,0.778361799086419,0.167012068687757,2
BPAC11,0.017514965164672,-0.547057974478423,1.81018665718951,0.203702072211564,1
BPAN4,0.0234779278044885,-0.513374485596708,1.01479915433404,0.217686718605773,2
BRAP3,0.176818799392752,-0.228571423883416,1.30701195590284,0.119449719432303,5
BRAP4,0.0235076954405959,-0.212104764250738,1.37126808860413,0.111996825467955,2
BRDT3,0.00848166475523294,-0.461458333333334,0.42682140554481,0.102407780677205,1
BRFS3,0.0348601422991418,-0.506055646481178,0.460569913850231,0.162798918836737,3
BRGE3,0.106633358158077,-0.508276533592989,1.03366336633664,0.168833714495445,4
BRIV3,0.106633358158077,-0.102272727272727,0.126582278481013,0.0728837135830761,4
BRKM5,0.028355953278754,-0.454199677591836,0.368757231176026,0.147899627896746,2
BRML3,0.0367368466019522,-0.457608695652174,-0.00801603206412827,0.083401831357275,3
BRPR3,0.0151779418346814,-0.411689168032539,0.0807860594114296,0.0821273033709785,1
BRSR3,0.120013681078756,-0.339597421997719,0.107493530120307,0.111150669537459,4
BRSR6,0.0839561534730804,-0.397096513788965,0.249128522721416,0.0752385199554815,4
BTOW3,0.0144658272356334,-0.325842696629214,0.575208333333334,0.227350243341876,1
CAML3,0.0848784387594394,-0.129561085076893,0.489415074398862,0.0904171200949413,4
CCPR3,0.0531993052447869,-0.469726185885075,-0.00363636363636366,0.0723328212709703,3
CCRO3,0.0269242977599512,-0.356907894736842,0.148337595907929,0.10861690141307,2
CEAB3,0.0841812951268634,-0.581250028042275,0.923880719736381,0.146034812966688,4
CESP3,0.131971120111075,-0.141538461538461,-0.00358422939068048,0.0738873054480601,5
CESP6,0.015224669237767,-0.154982709839674,0.0777529761904767,0.0576277136321442,1
CGRA4,0.245322566205681,-0.208096396232152,0.4167465546672,0.061514296275597,5
CIEL3,0.0375247104099456,-0.371994342291372,-0.0990990990990994,0.128176331708114,3
