ticker,ym,prox_52w_high,reversao,idio_vol_12m,hhi_posse,peer_ret,delta_breadth_w,dem_pct_w,EFIT
AALR3,201610,,,,,,,,
AALR3,201611,,,,,,,,
AALR3,201612,,0.122369787162725,,,,,,
AALR3,201701,,0.0757098353794473,,,0.114819492113042,,,
AALR3,201702,,0.0484642269476281,,0.0355342009047311,0.0690723370347512,0.00263157894736842,-0.0826483978170692,0.00498468734665805
AALR3,201703,,0.0860831498765721,,0.0391003461299513,0.00718924646295004,0.0288713910761155,0.403031840768325,0.00488932447525362
AALR3,201704,,-0.226844585715261,,0.0520848252226767,0.0307364039232392,0.0306122448979592,0.147111094189535,-0.0015209165585735
AALR3,201705,,-0.188739558042675,,0.0642601718321167,0.00296032385077436,0.0569306930693069,0.15007451468575,-0.00391894267091171
AALR3,201706,,0.0457481458349598,,0.0530501149144661,0.013347620247801,-0.0796252927400469,0.17777233997723,-0.00390621888933156
AALR3,201707,,0.0107161802671878,,0.0537510458931231,0.0687109694866529,0.0356234096692112,-0.15241085902035,-0.00801602746138515
AALR3,201708,,0.0279362017135036,,0.0528688856914884,0.0670860380585438,0.00245700245700246,-0.0327441598552626,-0.0110674568939957
AALR3,201709,0.917115257501234,0.0381231505228136,0.110666844621954,0.0546968570029202,0.0669339415251199,0.0318627450980392,0.0209064868730464,-0.00797114274523993
AALR3,201710,0.879978556743953,-0.0390244287869714,0.10636045135157,0.075430373322277,0.00303503921453024,0.0617577197149644,0.171791701326414,-0.00476300532890529
AALR3,201711,0.812701902308272,0.0404929483546729,0.101405353549594,0.062835370703284,-0.0342105082168046,0.0380313199105145,-0.0801729659598172,-0.0105533508318469
AALR3,201712,0.796555442787623,0.0764526066232981,0.0973519932309703,0.0485540246633911,0.0533338330839346,-0.0646551724137931,-0.167131801550752,-0.00937831211305884
AALR3,201801,0.804090457230593,0.0198676285545655,0.0973807140405169,0.0459332020501783,0.0507010723106284,0.145161290322581,0.507793217488638,-0.00646536785177154
AALR3,201802,0.832077549639575,-0.00945949778034305,0.0938710985740873,0.10082325631864,0.00156547097556314,-0.0603621730382294,-0.149074721002285,-0.00387719762505477
AALR3,201803,0.866523225856817,-0.0348059004522638,0.0683339716166786,0.121827507879357,-0.0186875528091272,0.0706638115631692,0.285643793391318,-0.00684638557149282
AALR3,201804,0.818386990047953,-0.0413971945669771,0.0433302781188502,0.086778516930914,0.00659192724326134,-0.016,-0.0768359232251821,-0.00928045318746896
AALR3,201805,0.758266796382984,0.0987577950889859,0.0434490602716001,0.0770342968621828,-0.102829841986212,0.0284552845528455,-0.11669448417014,-0.011760660673442
AALR3,201806,0.767155451765588,0.0833907652193165,0.0442185466623496,0.0787942838089492,-0.0613494650498898,0.0138339920948617,0.0964074744650885,-0.013512091948765
AALR3,201807,0.774060986570905,0.0165413468232574,0.0431908904315749,0.0739042464660622,0.0508507869717232,-0.00194931773879142,-0.0734669715340959,-0.0161181708121458
AALR3,201808,0.744131403710822,-0.00840974557543883,0.0408681684773188,0.0712373744964242,-0.0223879491127784,-0.025390625,-0.0550729350353297,-0.015291800849717
AALR3,201809,0.714373080581907,0.0386656650823727,0.0419047517207558,0.0575203531840979,-0.0103033493680744,-0.0200400801603206,-0.00996106442470964,-0.0194715428410073
AALR3,201810,0.744099325458721,0.0788642907613327,0.0418910088253237,0.0597521250796925,0.180849587940389,0.0388548057259714,-0.00416896982647912,-0.0206324628362017
AALR3,201811,0.811801156878178,-0.0256848679940125,0.0505083992688145,0.0669660585912104,0.0732647725424361,-0.0275590551181102,0.0368715045035441,-0.0136171905977231
AALR3,201812,0.82670804827021,-0.0909849385735186,0.0508215283008347,0.0713813535556706,0.0183359693688841,-0.01417004048583,0.0619914067961472,-0.00871400235145739
AALR3,201901,0.975155181013287,-0.0183627373103974,0.0627004953541442,0.0661887161512923,0.107336818499503,-0.0451745379876797,-0.00235740049879486,-0.00997364356605279
AALR3,201902,0.981366385759962,-0.17956415575448,0.0618947785683628,0.0662992594763609,-0.0104952512075994,0.0258064516129032,0.137992875042748,-0.00887690817345378
AALR3,201903,0.918987442952976,-0.00636945264468092,0.0624386125199031,0.0579704016851722,-0.0109524625978923,0.0482180293501048,-0.0721026037718849,-0.0107700976049022
AALR3,201904,0.954118604438515,0.0810125570470234,0.0587569785666932,0.0537441900542703,0.0153402575179698,-0.022,0.0549870886746602,-0.0107651556196594
AALR3,201905,0.892377821167564,-0.0382281191706493,0.0618536633659145,0.0540908966390472,0.021680464324717,-0.00613496932515337,-0.0550443447883262,-0.00990353840950245
AALR3,201906,0.917837964481171,0.064709757239543,0.0609564442271718,0.0539144738193391,0.0582305320736496,0.0164609053497942,0.186046368936939,-0.0026478404909488
AALR3,201907,0.941388593986038,-0.0285306769281797,0.0603783390883845,0.0517109383669054,0.0719011400734857,-0.01417004048583,-0.142817798988598,0.00175007173332475
AALR3,201908,1,-0.025658809524381,0.102949103447673,0.0516656280548897,0.0347279334763959,0,0.475953261948622,0.00115602882461606
AALR3,201909,1,-0.294793687751035,0.0990813000061685,0.055298699981938,-0.0140056157966236,-0.00410677618069815,-0.105481614911979,0.00579740444120244
AALR3,201910,0.940259715089253,-0.0052220089414563,0.0962705405048006,0.0547681217272303,0.00171630858270024,-0.0144329896907217,-0.00685490377347956,0.00457911091157791
AALR3,201911,0.970909104713934,0.0597402849107477,0.0952229884858752,0.0622283805926551,0.0375421318371677,-0.110878661087866,0.0383242907365589,-0.00426491623511065
AALR3,201912,0.943376603863008,-0.0325967274071444,0.105725775934062,0.065508390407024,0.134885100691886,0.183529411764706,-0.0275359449795687,-0.00514713400146849
AALR3,202001,1,0.028357444293449,0.104615119131786,0.0718961278948955,0.0425422764245971,-0.0576540755467197,0.0189428617305041,-0.0110360145090497
AALR3,202002,0.89676496770823,-0.157489028770883,0.109381386569214,0.089731901598708,-0.103728876629814,-0.0168776371308017,-0.175864878942178,-0.00647064583326232
AALR3,202003,0.428163646394383,0.103235032291769,0.123321931246556,0.0925898422666195,-0.398145011367067,-0.0150214592274678,-0.498510852268985,-0.0104750914733308
AALR3,202004,0.503180778094847,0.522546417609737,0.122189108123821,0.123571489248115,0.129212371004148,-0.113289760348584,-0.117158679929849,-0.0266965280300541
AALR3,202005,0.48927015753845,-0.175206681679283,0.122245124653612,0.146213250639472,0.0678788411574611,-0.00491400491400491,-0.0692498029570117,-0.0273462556709192
AALR3,202006,0.493587254563802,0.0276453735157818,0.133664050251286,0.149719352155004,0.159800136109776,0.00493827160493827,0.169779379773162,-0.0260385787127241
AALR3,202007,0.544912639764024,-0.00882354453635759,0.133900026507529,0.166255001411208,0.0902974749791907,0.00245700245700246,0.0710550673169884,-0.0247441925381771
AALR3,202008,0.575132273195959,-0.103984421651206,0.103435794388925,0.17130982459599,-0.0014815767543866,-0.00245098039215686,0.0613619801444951,-0.0251336398972777
AALR3,202009,0.48687176521931,-0.0554577582289462,0.104682373735691,0.173586965204207,-0.0913864027296695,0.245700245700246,-0.144532800183532,-0.0273590528033996
AALR3,202010,0.464326996357741,0.153461233337146,0.104563545682083,0.164259642926221,-0.0595297137296763,-0.0374753451676529,-0.0540992655679708,-0.0310509337211331
AALR3,202011,0.519969478583317,0.0463053528097126,0.104098834634061,0.187167607219364,0.163293373678879,0.0635245901639344,0.106222460654194,-0.0327694235593147
AALR3,202012,0.532441082046434,-0.11983469120263,0.0893947332228879,0.208500494836244,0.0926688267830195,-0.0481695568400771,0.0873443983288435,-0.0290605462852167
AALR3,202101,0.571804564284366,-0.0239852606293336,0.0773627419516552,0.206406503612713,-0.0590102322294296,0.0101214574898785,-0.19297979375523,-0.0305732959468034
AALR3,202102,0.751459583058988,0.0369370078374843,0.0779402505321292,0.188948265932978,-0.0517158256728833,-0.3687374749499,-0.169978700270845,-0.0324080810689366
AALR3,202103,0.750625535596708,0.157156166271919,0.0736780544193383,0.200563724345783,0.0911770437458204,0.819047619047619,-0.507492043623588,-0.0304253484298969
AALR3,202104,0.737281094356807,0.00110990328832405,0.0655436932332017,0.165859513398644,0.0636342507028677,-0.237347294938918,-0.585571962650169,-0.0106147258662097
AALR3,202105,1,0.0177777608235677,0.128454477222855,0.12956519248461,0.0725602342365104,0.205949656750572,-0.414426403706643,-0.0109198181309168
AALR3,202106,0.958435190720861,-0.38800907759845,0.12143509577463,0.0495559179038028,0.020517930070623,0.0967741935483871,2.28904403502227,0.00147903745300134
AALR3,202107,0.826405865120146,0.0415648092791342,0.121087154411142,0.0398382182448819,-0.0488868476168902,-0.0363321799307959,-0.758372080687086,-0.00693569351979335
AALR3,202108,1,0.137755089628354,0.153724978472045,0.0551291824417779,-0.049477167349905,0.0610412926391382,0.758641000371763,-0.0153107235875612
AALR3,202109,0.912322300943463,-0.24852065273832,0.149821662146192,0.0643122055791095,-0.0630444667818765,-0.0964467005076142,-0.449351901202384,-0.0166512963906413
AALR3,202110,1,0.0876776990565404,0.173680820303513,0.0646224923647458,-0.114704434698142,-0.0449438202247191,0.809064686372231,-0.0175422734586684
AALR3,202111,1,-0.28138527673853,0.182377566258556,0.0437281922791326,-0.0299816862180582,0.231372549019608,1.58866869599684,-0.0228618663385275
AALR3,202112,0.809189203623178,-0.249999983890637,0.195341764096062,0.0347887084772018,0.0807326193532114,0.10828025477707,-0.348745732915033,-0.0292721414341115
AALR3,202201,0.891891891891892,0.190810796376821,0.203187843555993,,0.0585791648952716,,,
AALR3,202202,0.916216257456189,,0.190769875248631,,,,,
AALR3,202203,0.970270311510243,-0.0272727735114819,0.1904265237212,,0.0781478623204726,,,
AALR3,202204,1,-0.0589970474919661,0.189346271954222,,,,,
AALR3,202205,1,-0.0813369928923373,0.147012047570891,,0.050631539329212,,,
AALR3,202206,0.97501249403894,-0.0309119209781819,0.155308075194895,,-0.119457134014205,0.11576354679803,0.227879705705999,
