ym,ret_tilt,ret_ew
202001,-0.0843258837829347,-0.0823258234836491
202002,-0.340955367206976,-0.336756328732809
202003,0.129773895817749,0.124998059654245
202004,0.0586489331065742,0.0519438088817275
202005,0.136524639060454,0.149425096477339
202006,0.0799283432558028,0.0703071555953747
202007,-0.0245840683873721,-0.0221058258793395
202008,-0.0482194516106598,-0.0479281813985346
202009,-0.0178006375477497,-0.00972346628323271
202010,0.137738754269946,0.139060977364387
202011,0.0818006186309492,0.0846526889040019
202012,-0.02202411142514,-0.0223720106466878
202101,-0.0298626489298835,-0.0298390787292899
202102,0.0314860751681005,0.0493807251628849
202103,0.062968054015493,0.0845172236863037
202104,0.0527307627982859,0.0479973968311709
202105,0.0301940509228714,0.0336558383491953
202106,-0.0550116571944212,-0.0532086194795781
202107,-0.0387712945284023,-0.0377070034300631
202108,-0.06668316874227,-0.0690896807972039
202109,-0.112047236666706,-0.108977012613735
202110,-0.0271894125247138,-0.0321508103206691
202111,0.0446690958247634,0.0489588420976497
202112,-0.057569888662528,-0.0623942630079199
