sinal,horizonte,r2_oos_pct,p_full
E[FIT] (fluxo esperado),0,-0.00507603170103455,0.518816741707198
E[FIT] (fluxo esperado),1,-0.225273781083168,2.06406008616328e-22
E[FIT] (fluxo esperado),3,0.0561930858093307,0.00531747042242987
E[FIT] (fluxo esperado),6,-0.591037128075289,0.198249470767919
E[FIT] (fluxo esperado),12,0.0158150180393557,0.0164930781922802
FIT suavizado (MA3),0,-0.427725095921838,6.10595122953737e-14
FIT suavizado (MA3),1,-0.0976878103984946,9.56747728254173e-08
FIT suavizado (MA3),3,-4.44718493228733,0.0470642280571228
FIT suavizado (MA3),6,-0.337945698005093,0.0396367870601901
FIT suavizado (MA3),12,-1.75507044131036,0.0473259696642347
