modelo,horizonte,variavel,n_meses,coef_medio,t_fm,p_fm,r2_medio_pct,sig_bonferroni
FM_multipla|top3(peer+hhi+52wh),1,s_peer,24,0.0038625080393913,1.87889383999921,0.0729911641884318,6.61220792547202,FALSE
FM_multipla|top3(peer+hhi+52wh),1,s_hhi,24,-0.00626959616904444,-2.11354462678095,0.0456110147083174,6.61220792547202,FALSE
FM_multipla|top3(peer+hhi+52wh),1,s_52wh,24,0.00402814884040828,0.667122837353614,0.511331810170652,6.61220792547202,FALSE
FM_multipla|all8,1,s_peer,24,0.00452719098907737,2.42310021966531,0.0236657755058702,11.3571750749518,FALSE
FM_multipla|all8,1,s_hhi,24,-0.00629918275046744,-2.04865532869755,0.0520746204269242,11.3571750749518,FALSE
FM_multipla|all8,1,s_52wh,24,0.00305112750089829,0.586878485759981,0.563002251767157,11.3571750749518,FALSE
FM_multipla|all8,1,s_rev,24,-0.00178010912055441,-0.536799425386205,0.596561146621312,11.3571750749518,FALSE
FM_multipla|all8,1,s_idiovol,24,-0.00103544593926253,-0.277307154409507,0.784021467223772,11.3571750749518,FALSE
FM_multipla|all8,1,s_breadth,24,-0.00202025151455905,-0.798240787544889,0.432896076517851,11.3571750749518,FALSE
FM_multipla|all8,1,s_dem,24,-0.00126642197549351,-0.430848045121872,0.670589787973008,11.3571750749518,FALSE
FM_multipla|all8,1,s_efit,24,0.00213446821231995,0.8138691103967,0.424066232546933,11.3571750749518,FALSE
FM_multipla|top3(peer+hhi+52wh),3,s_peer,22,0.0026793470009962,1.04382556642081,0.308433925540976,6.609270365465,FALSE
FM_multipla|top3(peer+hhi+52wh),3,s_hhi,22,-0.00441974050710169,-1.24526233947006,0.226751915528287,6.609270365465,FALSE
FM_multipla|top3(peer+hhi+52wh),3,s_52wh,22,0.00127931811800232,0.247998347216374,0.80654457127952,6.609270365465,FALSE
FM_multipla|all8,3,s_peer,22,0.00354512032577492,1.30317289889027,0.206623983389731,11.4502462657759,FALSE
FM_multipla|all8,3,s_hhi,22,-0.00343012878470167,-1.05846918238386,0.301865568578223,11.4502462657759,FALSE
FM_multipla|all8,3,s_52wh,22,0.00408822207055805,0.98930464822604,0.333776823501246,11.4502462657759,FALSE
FM_multipla|all8,3,s_rev,22,0.00108094829891176,0.274266637862547,0.786559562789312,11.4502462657759,FALSE
FM_multipla|all8,3,s_idiovol,22,0.00412169474951144,0.88838703281672,0.384395619473473,11.4502462657759,FALSE
FM_multipla|all8,3,s_breadth,22,-0.00193885184206917,-1.0462955982563,0.307318941928824,11.4502462657759,FALSE
FM_multipla|all8,3,s_dem,22,0.00278353537908076,1.04730313872892,0.306864956465032,11.4502462657759,FALSE
FM_multipla|all8,3,s_efit,22,0.00186716857547586,0.872548019415842,0.392777139746124,11.4502462657759,FALSE
FM_multipla|top3(peer+hhi+52wh),6,s_peer,19,0.00230928491238977,1.03637746494119,0.313749294338555,5.61561849016225,FALSE
FM_multipla|top3(peer+hhi+52wh),6,s_hhi,19,-0.00628244061216221,-1.7631724467545,0.0948399214102504,5.61561849016225,FALSE
FM_multipla|top3(peer+hhi+52wh),6,s_52wh,19,0.00273523509505707,0.531187473660112,0.601782765969098,5.61561849016225,FALSE
FM_multipla|all8,6,s_peer,19,0.00223810748422936,0.853432431142868,0.4046339254896,9.96989388832506,FALSE
FM_multipla|all8,6,s_hhi,19,-0.00754449459639297,-2.02311241107785,0.0581719351956116,9.96989388832506,FALSE
FM_multipla|all8,6,s_52wh,19,-0.000936493823189728,-0.163493493515355,0.871951580522134,9.96989388832506,FALSE
FM_multipla|all8,6,s_rev,19,-0.00285770616414645,-0.898604950348855,0.380726757200792,9.96989388832506,FALSE
FM_multipla|all8,6,s_idiovol,19,-0.00378993372336666,-1.13630107905474,0.270733289152427,9.96989388832506,FALSE
FM_multipla|all8,6,s_breadth,19,-0.00357367375644681,-1.70660021999718,0.105089223450449,9.96989388832506,FALSE
FM_multipla|all8,6,s_dem,19,0.00350573422782169,1.39322067464637,0.180520949138243,9.96989388832506,FALSE
FM_multipla|all8,6,s_efit,19,0.000791814532084423,0.255935400086022,0.800902694452612,9.96989388832506,FALSE
