sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
"COMPOSTO(pesos regressao treino,all8)",1,24,38,-0.233367437972179,-0.158275189074725,-0.223834918976642,0.824862066058766,FALSE
"COMPOSTO(pesos regressao treino,top3)",1,24,38,0.707324847783185,0.695183993333545,0.983138631716987,0.33576885770524,FALSE
"COMPOSTO(pesos regressao treino,all8)",3,22,37,-1.27808701516753,-0.880774404333637,-1.19257418110447,0.246337757018429,FALSE
"COMPOSTO(pesos regressao treino,top3)",3,22,37,-0.686370218780071,-0.479251883110134,-0.648910117313472,0.523430370792573,FALSE
"COMPOSTO(pesos regressao treino,all8)",6,19,35,1.33016509939401,2.42237480019743,3.04808811361044,0.00692124890976357,FALSE
"COMPOSTO(pesos regressao treino,top3)",6,19,35,1.21388691690167,1.70136017833923,2.14083127687065,0.0462263416316172,FALSE
