ticker,ym,stock_iq,n_fundos
ABEV3,201701,0.00286070738499167,880
ALSC3,201701,-0.00093420709373487,622
BBAS3,201701,0.000287826871365994,944
BBDC3,201701,-0.00125966179882107,719
BBDC4,201701,0.00967565571275356,1086
BBSE3,201701,-0.000498385214981479,886
BBTG11,201701,0.000519714835700294,477
BEEF3,201701,-0.000570413278431691,607
BRAP4,201701,-0.000285617624335865,881
BRFS3,201701,0.000460854687391982,870
BRKM5,201701,-0.00102188431668261,818
BRML3,201701,-0.00239262776112649,988
BRPR3,201701,0.000132119267340708,554
BRSR6,201701,-0.00229585789639377,634
BTOW3,201701,-1.11633097286714e-05,561
BVMF3,201701,0.00116886075541646,1062
CCRO3,201701,-0.000904083426447939,909
CESP6,201701,-0.000807507374282161,847
CIEL3,201701,0.00135066627126369,983
CMIG3,201701,-6.18505351009996e-05,194
CMIG4,201701,-0.0017804079570496,842
CPFE3,201701,0.00286754661289347,843
CPLE3,201701,0.000309522763792121,463
CPLE6,201701,-0.00013059725181798,661
CRDE3,201701,-0.000322369974233515,190
CSAN3,201701,-0.00109979985885635,891
CSMG3,201701,-0.00151130075243893,738
CSNA3,201701,0.000191494606564993,644
CTIP3,201701,0.00481814325746553,987
CVCB3,201701,0.000150834986222264,816
CYRE3,201701,-0.00218345724660051,825
DTEX3,201701,-0.000598713454237945,604
ECOR3,201701,-0.00205242983218844,779
EGIE3,201701,-0.000952168128343371,775
ELET3,201701,-0.00166657606433697,830
ELET6,201701,-0.00132376809088438,733
EMBR3,201701,0.000299372628205521,834
ENBR3,201701,-0.000555590992093803,767
EQTL3,201701,0.00623596085741115,1066
ESTC3,201701,-0.00153827895286827,751
EVEN3,201701,0.000310218109265595,540
EZTC3,201701,7.41165533818688e-06,562
FIBR3,201701,-0.000555891362027331,840
GFSA3,201701,0.000267591598887288,491
GGBR3,201701,-0.000232676209936426,397
GGBR4,201701,-0.00140244546197799,925
GOAU4,201701,-0.00191491955981911,826
GOLL4,201701,3.30298698227313e-05,429
HYPE3,201701,-0.000971943256488751,928
IDNT3,201701,-0.000549848436381367,218
IGTA3,201701,-0.00114751362819047,703
ITSA4,201701,0.00517662683267421,1021
ITUB3,201701,-0.0002095620277673,443
ITUB4,201701,0.00568833571777221,1052
JBSS3,201701,-0.000655152397000994,820
KLBN11,201701,-0.000858182821928454,844
KROT3,201701,-0.00046720168065429,883
LAME3,201701,-4.81303910855471e-05,586
LAME4,201701,-0.000836012037929038,827
LIGT3,201701,-0.00091856470562858,701
LPSB3,201701,-0.0001076380527767,309
LREN3,201701,-0.000865337005678993,977
MAGG3,201701,-0.000211299596303823,256
MEAL3,201701,0.000237162180548211,439
MPLU3,201701,-0.00023538846207542,456
MRFG3,201701,-0.000329813893980411,721
MRVE3,201701,-0.00124093641306614,848
MULT3,201701,-0.0012979919476919,909
MYPK3,201701,2.718663765343e-06,558
NATU3,201701,1.75983310303027e-05,728
ODPV3,201701,-2.28937379590281e-05,538
PCAR4,201701,-0.00121031735351264,849
PETR3,201701,0.000142139573767965,849
PETR4,201701,0.00350032403367962,1080
PSSA3,201701,-1.62795899886804e-05,488
QUAL3,201701,-0.00198440060654228,855
RADL3,201701,-2.07932104080192e-06,828
RENT3,201701,-0.00180319362544823,840
RUMO3,201701,-0.000947547393263696,834
SANB11,201701,-0.00170229710395493,744
SAPR4,201701,0.00198915244899623,920
SBSP3,201701,0.00106386484538925,911
SMLE3,201701,-0.00189404801681673,795
SULA11,201701,9.26387891990964e-05,464
SUZB5,201701,-0.000564299674822263,837
TECN3,201701,-0.00010270246081769,341
TIET11,201701,-0.00072516648429372,559
TIMP3,201701,-0.00160570962460913,758
TOTS3,201701,2.6338435975827e-05,443
UGPA3,201701,0.00151667314924951,879
USIM5,201701,-0.00228839690462469,769
VALE3,201701,9.47421798397948e-05,831
VALE5,201701,0.000885663929825955,961
VIVT3,201701,-0.00134210365596263,512
VIVT4,201701,-0.0004646035683421,931
VLID3,201701,-1.38182937451339e-05,578
WEGE3,201701,-0.00060468723459738,797
ABCB4,201702,-2.37940241202681e-05,423
ABEV3,201702,0.00291367214659342,862
ALSC3,201702,-0.000725502542499907,622
BBAS3,201702,0.000786025523600718,959
BBDC3,201702,-0.000606318655911461,710
BBDC4,201702,0.00852014571687658,1059
BBSE3,201702,0.000714722436604093,907
BBTG11,201702,0.000710552936800025,488
BEEF3,201702,-0.000598203089693172,591
BRAP4,201702,-0.000719548790650177,906
BRFS3,201702,0.00142604754446859,943
BRKM5,201702,-0.00101744543155585,812
BRML3,201702,-0.000236400549677289,952
BRPR3,201702,0.000106317500383043,415
BRSR6,201702,-0.00224810649778903,708
BTOW3,201702,4.18004441779885e-05,588
BVMF3,201702,0.00279180453072613,1051
CCRO3,201702,0.000192558118185451,917
