grupo,horizonte,n_meses,spread_pp,t_fm,p_fm
ALTA,1,24,1.80419069803342,1.37966401534268,0.180956875111271
BAIXA,1,24,4.53480556421906,2.33865104164321,0.0284095652213931
ALTA,3,22,1.39982159977121,0.776421226410189,0.446157814737508
BAIXA,3,22,2.62634085377567,2.12844676674077,0.0453034418651233
ALTA,6,19,-1.39984671135438,-0.888104229860002,0.386198683546527
BAIXA,6,19,1.71992529944772,1.02086351467312,0.320844673701028
