sinal,horizonte,variavel,n_meses,coef_medio,t_fm,p_fm,sig_bonferroni
"Dispersao (CV peso, simples) sozinha",1,cv_peso_z,62,0.000394340278478348,0.176165578536142,0.860747410704579,FALSE
"Dispersao (CV peso, ponderado) sozinha",1,cv_peso_ponderado_z,62,-0.000381395787126443,-0.182804850469,0.855557358427716,FALSE
"Dispersao (CV peso, simples) sozinha",3,cv_peso_z,60,0.00226620472623268,0.984529011349207,0.328875764936696,FALSE
"Dispersao (CV peso, ponderado) sozinha",3,cv_peso_ponderado_z,60,0.00248528202491235,1.16201112077702,0.249910096019183,FALSE
"Dispersao (CV peso, simples) sozinha",6,cv_peso_z,58,0.000827357053229418,0.31763270824325,0.751924249246107,FALSE
"Dispersao (CV peso, ponderado) sozinha",6,cv_peso_ponderado_z,58,-0.000797345430315291,-0.426712055070085,0.671196462776288,FALSE
"Dispersao (CV peso, simples) sozinha",12,cv_peso_z,55,0.00158521380043619,0.819180942344022,0.416283992780834,FALSE
"Dispersao (CV peso, ponderado) sozinha",12,cv_peso_ponderado_z,55,0.000210202464042895,0.123375308348644,0.902267976864025,FALSE
Dispersao + n_fundos + HHI (controlado),1,cv_peso_ponderado_z,62,-0.000107647788585567,-0.0542090975758152,0.956945725272615,FALSE
Dispersao + n_fundos + HHI (controlado),1,n_fundos_z,62,0.00304758917497381,0.760846926201305,0.449679689200837,FALSE
Dispersao + n_fundos + HHI (controlado),1,hhi_posse_z,62,0.00031196725289003,0.162364239529221,0.871555680242032,FALSE
Dispersao + n_fundos + HHI (controlado),3,cv_peso_ponderado_z,60,0.00217465236139667,1.02589718740286,0.309127871957446,FALSE
Dispersao + n_fundos + HHI (controlado),3,n_fundos_z,60,0.000376702656954623,0.151009313736321,0.880483499487738,FALSE
Dispersao + n_fundos + HHI (controlado),3,hhi_posse_z,60,0.000343521652219947,0.144966448810557,0.885231457050886,FALSE
Dispersao + n_fundos + HHI (controlado),6,cv_peso_ponderado_z,58,-0.000518367077317195,-0.207554629225715,0.836316503238684,FALSE
Dispersao + n_fundos + HHI (controlado),6,n_fundos_z,58,-0.0007517695356562,-0.420457455612596,0.67573223852733,FALSE
Dispersao + n_fundos + HHI (controlado),6,hhi_posse_z,58,-0.00124219099811941,-0.495170245198749,0.622383490064044,FALSE
