ticker,ym,peer_ret,n_peers
AALR3,201701,0.114819492113042,57
ABCB4,201701,0.0661909506193184,56
ABEV3,201701,0.082275865907886,57
AFLT3,201701,-0.00960412266527302,6
AFLU3,201701,-0.00544083618148116,5
AGRO3,201701,0.0679922660486662,35
ALPA3,201701,0.089298688620458,50
ALPA4,201701,0.0603871287160143,57
ALSC3,201701,0.127753667020398,57
ALUP11,201701,0.0795289730641185,56
ALUP3,201701,0.0907035239937098,50
ALUP4,201701,0.047796180177487,50
AMAR3,201701,0.080445792737431,56
ANIM3,201701,0.119437252149252,57
ARZZ3,201701,0.11638334230502,57
BBAS3,201701,0.0685078566891697,60
BBDC3,201701,0.0666111109459768,58
BBDC4,201701,0.100317964317767,60
BBRK3,201701,0.0789250071239936,56
BBSE3,201701,0.0909499020884488,58
BBTG11,201701,0.107502640088056,56
BEEF3,201701,0.0899001712493565,57
BMEB4,201701,0.0932592442258066,8
BOBR4,201701,0.0694950500857201,8
BPAN4,201701,0.0664802577043642,8
BPHA3,201701,-0.116984870087992,15
BRAP3,201701,0.16259583440729,56
BRAP4,201701,0.125540220177357,60
BRFS3,201701,0.0648244111179231,59
BRGE3,201701,0.0598540603450602,52
BRIN3,201701,0.077766956380388,51
BRIV3,201701,0.0948729263263755,54
BRKM3,201701,0.0740170693509299,47
BRKM5,201701,0.0900870452257334,58
BRML3,201701,0.115205337278159,60
BRPR3,201701,0.119745582828706,57
BRSR6,201701,0.10977529965805,59
BSEV3,201701,0.0281383406156999,36
BTOW3,201701,0.117030122327439,57
BTTL4,201701,0.107491260288178,19
BVMF3,201701,0.0952733908240751,60
CAMB4,201701,0.201756688247272,42
CCPR3,201701,0.0651110572005481,52
CCRO3,201701,0.0886003298484638,58
CCXC3,201701,0.0630657927617053,49
CEBR3,201701,0.0827612079540049,13
CEBR5,201701,0.102705528724799,13
CEBR6,201701,0.0742362453627288,13
CEEB3,201701,-0.0061066415712968,7
CEED3,201701,-0.00545029961623728,7
CEED4,201701,-0.00297972735038387,7
CELP3,201701,0.115197018835298,50
CELP5,201701,0.0838276916738439,16
CEPE3,201701,-0.0138924257630823,7
CEPE5,201701,0.0617802020299756,10
CEPE6,201701,0.0138389198124807,5
CESP3,201701,0.0812922356156096,54
CESP6,201701,0.117016078985344,59
CGAS3,201701,0.0917060665029884,55
CGAS5,201701,0.0857470772764844,56
CGRA3,201701,0.0650718180912004,53
CGRA4,201701,0.101811402508017,55
CIEL3,201701,0.0814357042156759,60
CLSC3,201701,0.008167651661173,7
CLSC4,201701,0.156288238639979,56
CMIG3,201701,0.11235947048548,54
CMIG4,201701,0.0743098996365672,60
COCE5,201701,0.0892415143444359,45
CPFE3,201701,0.13590435959454,60
CPLE3,201701,0.133796884099999,57
CPLE6,201701,0.0699132057293508,58
CPRE3,201701,0.0701706015027774,53
CRDE3,201701,0.105685976232447,55
CRIV3,201701,0.0721873510843243,52
CSAN3,201701,0.114143298099396,58
CSMG3,201701,0.0835055010995865,59
CSNA3,201701,0.0760962635154153,59
CSRN3,201701,-0.0138924257630823,7
CSRN5,201701,-0.00260726143158589,8
CTAX3,201701,0.071626611406118,57
CTIP3,201701,0.114932260579676,60
CTNM3,201701,0.248510835848856,5
CTNM4,201701,0.0336846379483275,52
CVCB3,201701,0.0865722046297663,58
CYRE3,201701,0.138341932492915,58
DIRR3,201701,0.0877323672199809,57
DOHL4,201701,0.0780343609327104,14
DTEX3,201701,0.0815167963459199,57
ECOR3,201701,0.128708101024205,58
EEEL3,201701,0.0197485058433527,6
EEEL4,201701,0.0174167691072817,7
EGIE3,201701,0.067391933815078,58
ELET3,201701,0.0790164739053182,61
ELET6,201701,0.0742656208983199,58
ELPL4,201701,0.0902025550950916,57
EMAE4,201701,0.0480338846909404,13
EMBR3,201701,0.117056567709855,58
ENBR3,201701,0.056202795036415,58
ENEV3,201701,0.0607293337036252,56
ENGI11,201701,0.105584982202346,59
ENGI3,201701,0.0648060378198668,35
ENGI4,201701,0.0918975695035088,50
ENMT3,201701,0.0921486572749642,50
ENMT4,201701,0.0982029435682571,50
EQTL3,201701,0.0616307118416816,60
ESTC3,201701,0.072764223976802,58
ETER3,201701,0.0582741516297344,35
EUCA4,201701,0.137717918987104,55
EVEN3,201701,0.118579927803525,57
EZTC3,201701,0.0963779732325938,57
FESA4,201701,0.108119126049822,55
FIBR3,201701,0.100814004168929,58
FLRY3,201701,0.0711449783897558,57
FRAS3,201701,0.0181447265141633,6
GEPA3,201701,0.00548372582228212,36
GEPA4,201701,0.0193008693281087,36
GFSA3,201701,0.0881686446869643,57
GGBR3,201701,0.130760547641862,57
GGBR4,201701,0.0743290101279472,59
GOAU3,201701,0.101106785003335,54
GOAU4,201701,0.103842869233989,58
GOLL4,201701,0.0872907657658197,57
GPCP3,201701,0.0796600987390855,45
GRND3,201701,0.0657639618696855,58
GSHP3,201701,0.417143091131153,51
GUAR3,201701,0.105019699458201,56
GUAR4,201701,0.0905058842138235,58
HBOR3,201701,0.14196891830052,57
HGTX3,201701,0.0681184094733639,57
HYPE3,201701,0.0681907186041051,58
IDNT3,201701,0.117867563888756,52
IGBR3,201701,0.139664483399963,50
IGTA3,201701,0.0958287181764095,58
INEP3,201701,0.320147502456713,52
INEP4,201701,0.291163785262645,50
ITSA3,201701,0.073910539491101,55
ITSA4,201701,0.0738483771496397,60
ITUB3,201701,0.101203476697117,59
ITUB4,201701,0.0812499075043647,60
JBSS3,201701,0.0638969427602027,58
JHSF3,201701,0.197105741725439,50
JOPA3,201701,0.0770926362951981,52
