sinal,horizonte,n_treino,n_teste,beta_treino,r2_oos_pct,p_full
Lideres ponderados por skill,1,7166,5839,-12.492942522668,0.103916090176392,0.000165739104936337
Lideres ponderados por skill,3,7124,5437,4.65116043211496,0.0147557587477087,0.225897698028165
Lideres ponderados por skill,6,7044,4503,-19.0280694512406,-0.0309679463336376,0.0570458773022152
Lideres top-quintil skill,1,6519,5500,-0.301587834229534,0.0244234072770189,0.0075941069448946
Lideres top-quintil skill,3,6482,5114,1.60483167556699,0.082886539449778,0.00464366818122668
Lideres top-quintil skill,6,6406,4239,-2.79385048806255,-0.0675864599751552,0.015747640878798
