estrategia,sharpe,vol_anual_pct,ret_anual_pct,max_dd_pct,n_meses
Long-short CIO puro (equal-weight),0.479198677491894,13.0428848990527,6.25013319430503,-28.9649037376527,62
Long-short CIO + tilt inverso-HHI,0.0639037143222057,16.0782242893884,1.02745825179743,-37.2894476008557,62
Long-only top-CIO (equal-weight),0.23875306978401,26.9101080893709,6.42487091455682,-45.9789019645165,62
Long-only top-CIO (tilt inverso-HHI),0.180716451434307,27.3736544182686,4.94686968925854,-46.4869038931442,62
