sinal,horizonte,n_meses,spread_pp,t_fm,p_fm
Persist-PEQUENOS,1,23,0.162199597765893,0.114285309354219,0.910048231457971
Persist-GRANDES,1,23,-2.05827668074108,-1.5730295207422,0.129984208503152
Persist-PEQUENOS,3,21,0.220678744740273,0.209719627025489,0.836008080809929
Persist-GRANDES,3,21,-0.199494487671939,-0.203823500837431,0.840551072736927
