sinal,horizonte,n_meses,spread_pp,t_fm,p_fm
Stock IQ,1,24,-1.11472019129343,-1.07807860192267,0.292176134647665
Stock IQ,2,23,-1.13351180456032,-1.52558086270326,0.141362929398039
Stock IQ,3,22,1.3073540267424,1.28566430900843,0.212557466434666
Stock IQ,4,21,1.07238416277383,1.37342394694948,0.184822142560036
Stock IQ,6,19,0.337286054570537,0.351501381340326,0.729293280657378
Stock IQ,12,13,-1.40666648020781,-1.13203677108644,0.279733444508748
