sinal,horizonte,n_treino,n_teste,r2_oos_pct,coef_full,t_full,p_full
Tamanho medio dos fundos donos (log AUM),3,7664,5904,0.746500337452816,0.00608369602348358,6.63317066069331,3.4100461958781e-11
Fluxo medio recente dos fundos donos,3,7664,5904,1.19547933697913,0.38033609303049,15.3485911427359,1.00342521062789e-52
N. medio de cotistas dos fundos donos (log),3,7664,5904,1.45234706044138,0.00628885643804844,8.40040472615961,4.88809570528425e-17
Taxa media de saida/churn dos fundos donos,3,7445,5904,0.216862440782761,0.0826908321784892,5.42897807214987,5.76687678439589e-08
Tamanho medio dos fundos donos (log AUM),6,7609,5262,0.973989530254005,0.00635551691018374,8.06889283921509,7.71992737684712e-16
Fluxo medio recente dos fundos donos,6,7609,5262,3.28576692231197,0.411696236259957,19.1563211268293,1.13285404145343e-80
N. medio de cotistas dos fundos donos (log),6,7609,5262,0.0515996104870076,0.00578990747318857,8.93610631199457,4.57458513685964e-19
Taxa media de saida/churn dos fundos donos,6,7392,5262,0.67795773631999,0.103473000016996,7.90242191932249,2.96095635175367e-15
Tamanho medio dos fundos donos (log AUM),12,7490,4021,-1.52660028711069,0.0041536930294487,5.88957000042388,3.98025654694782e-09
Fluxo medio recente dos fundos donos,12,7490,4021,3.26933319928793,0.290955736812873,15.3681498458632,8.93707745552563e-53
N. medio de cotistas dos fundos donos (log),12,7490,4021,-3.25979203373012,0.00318895380356055,5.42720940861992,5.84026652983953e-08
Taxa media de saida/churn dos fundos donos,12,7276,4021,0.68245502483667,0.0800281226513349,6.91362327768963,4.97903020018567e-12
