ticker,ym,n_fundos,mean_peso,cv_peso,wmean_peso,cv_peso_ponderado
VIVT3,201701,512,0.00200757899204853,3.42170275265746,0.00215639201588607,3.74562794509033
BRAP4,201701,881,0.00858720993764562,1.7264070218056,0.0108027630448755,1.89907776070385
EQTL3,201701,1067,0.0268751543430701,1.86870830857943,0.0311962473879088,1.69817978632825
BBDC4,201701,1087,0.0365959948028818,1.11129626826145,0.0361727383546059,1.21655408762861
CTIP3,201701,987,0.0207363547987324,1.43445047065197,0.0293345823133601,1.31055051624919
ELET6,201701,733,0.00469279317090909,2.13588195985701,0.00476093585810926,2.02649348146303
ITSA4,201701,1022,0.0241627166972594,1.37241702891204,0.0255070642654586,1.52721454184177
MRVE3,201701,848,0.00442608224034812,2.60621947470945,0.00245560994086019,2.77206494672873
LREN3,201701,977,0.010281952492995,1.95874801725547,0.00851185154123067,2.31594783331946
CIEL3,201701,1008,0.0128787464390684,1.42091657452526,0.0103122119237338,1.49314169792749
CSMG3,201701,738,0.00510496068703572,2.19974271649498,0.00362002599250128,2.45962060379438
GGBR3,201701,397,0.00478663656137201,2.94805021297919,0.00400652203604137,2.56512530032569
BVMF3,201701,1062,0.0186006946861334,1.20813601532247,0.017287277471711,1.2973882698915
ITUB4,201701,1054,0.0321827090040981,1.29713276827691,0.0246684313162082,1.45858134334201
ABEV3,201701,888,0.0153149501743212,1.74037415693691,0.0107272601894962,1.79292105293929
QUAL3,201701,855,0.00547154262689887,2.32191659258286,0.00406733908843452,2.21884341371323
NATU3,201701,755,0.00180133356978781,2.5841223098268,0.00120269339005179,2.63710608434419
SBSP3,201701,911,0.00934664271810275,1.6961364303218,0.00992040767949576,1.77365278397918
EMBR3,201701,834,0.00531013020714877,1.80240555360073,0.00445225055439368,1.6136133777574
GOAU4,201701,826,0.00406011016667784,3.11817405725762,0.00227626694397413,3.42014475542578
BRFS3,201701,893,0.0151527427337947,2.52542447635712,0.00996898970498433,2.93535005823642
SAPR4,201701,920,0.0179887546918722,1.33439476650823,0.0176768852880384,1.18787576243713
ALSC3,201701,622,0.00516106308742775,2.70204010392955,0.00554002182535144,2.34404022772348
CMIG4,201701,842,0.00437419860246876,2.55013732256982,0.00301881298574464,2.81657875698373
CPFE3,201701,844,0.00992414068491985,3.60585446674915,0.0242275059017448,4.03556747948689
UGPA3,201701,884,0.0098170839461633,1.6662280390754,0.00963141640369186,1.84506349166923
PETR4,201701,1082,0.0284655931771545,2.02822557635745,0.0207065493497319,1.30917086356757
BRML3,201701,1001,0.00736838915344663,2.26623686547888,0.00435711433254088,2.45678741484979
ELET3,201701,831,0.00427752995333935,2.32189511974321,0.00650032105774041,2.14600350262713
JBSS3,201701,821,0.00434729222583948,2.2892039975461,0.00302019961247925,2.00610134073803
SUZB5,201701,837,0.00376433140356658,2.35802112098669,0.00260301901199206,2.41972008290663
ESTC3,201701,751,0.00212066239736492,2.23686152784831,0.00139555056112637,2.25789190157843
FIBR3,201701,840,0.00429483509228776,1.98719822033226,0.00327442089591041,2.39150792058321
ITUB3,201701,443,0.0051771901732173,8.16471414885331,0.00288631151757336,7.63757099032616
VLID3,201701,578,0.00360853583006717,3.03257788235074,0.00338900582365036,2.80916546736112
LIGT3,201701,701,0.00485832882906397,2.33745533014847,0.00474524956164245,2.04043474166132
SMLE3,201701,795,0.00319456769109977,2.42579345864879,0.00219171134816269,2.69179898661858
KROT3,201701,883,0.00669690794214824,1.66772810679941,0.0052302667753971,1.65818486482236
RADL3,201701,828,0.00798183441903952,1.94787395676398,0.0064067507699868,2.09527349828877
GGBR4,201701,925,0.00613597826260165,3.62629441435713,0.00352912984819865,4.14853811056403
BBTG11,201701,479,0.00277139298297737,2.7463446801005,0.00330460400994222,2.29765621870488
BEEF3,201701,609,0.0046310345485633,2.5358776633302,0.00303325782797726,2.92591960019209
RENT3,201701,840,0.00332618827581108,2.64710626674316,0.00264913929127101,3.40989360940883
BRPR3,201701,555,0.00134824263300863,3.99436842082991,0.00122451317273419,3.29918328929279
EVEN3,201701,556,0.00157251103278074,4.41630876938972,0.00154134187798039,2.85504765635712
IGTA3,201701,703,0.00614746708240261,2.03615647203318,0.00535601462204136,2.02253241730034
TIET11,201701,563,0.00285123185593702,2.7074797504809,0.0027926708273718,3.05297326742941
BBAS3,201701,945,0.0157567413152623,2.8182443767393,0.0375275639223207,4.33127770796024
VALE5,201701,963,0.0175901718552094,1.49408881503599,0.0127150117390007,1.61006528979524
CVCB3,201701,816,0.0123715438061301,1.6801283993866,0.0110386601872229,1.60041255066643
EGIE3,201701,775,0.00234494490674082,2.88423274982703,0.00202046168838964,3.4350150078788
PETR3,201701,849,0.00879222418525204,1.60431450464344,0.00732146999957612,1.55627814344702
CESP6,201701,847,0.00804932233163241,1.40672573862189,0.00816208556619658,1.32711943231616
BRKM5,201701,819,0.00441550721960154,2.44807054380462,0.00244972828608596,2.75962153612365
BTOW3,201701,570,0.0016619580786183,2.84616305955772,0.00132633078602278,2.98770094167614
CYRE3,201701,828,0.00259681905537578,3.44763992573522,0.00161116757550474,3.16260899244284
CPLE3,201701,465,0.00113365812732471,3.39254704051888,0.00149654401686093,2.36524442089185
AALR3,201701,380,0.00224273270199495,2.4959627476652,0.00168374743967541,2.62339448987111
GOLL4,201701,432,0.00078166029710906,3.67447534981451,0.000572211281109768,3.74789061155009
SULA11,201701,464,0.00169319417555712,3.53109589833166,0.00078275209535619,4.24137141763309
VALE3,201701,832,0.00955357781077012,1.73759338744929,0.00725377916607337,1.6632211326209
CCRO3,201701,909,0.0070154688841425,2.29559878524074,0.00362667308485625,2.62467640072303
MULT3,201701,909,0.00492029813500772,2.73617736434427,0.00348674141899742,2.14031484102421
HYPE3,201701,928,0.00718347903171222,2.14408939286999,0.00640175258535939,2.50519940219355
KLBN11,201701,845,0.00376502035230521,2.16170422810881,0.00295786971450041,2.50076944870806
MEAL3,201701,439,0.00152510469017615,3.90357173102925,0.00102748555916835,3.45659419332149
BRSR6,201701,634,0.00353870568537429,2.2074303071882,0.00382582560529729,1.70867673000185
PCAR4,201701,849,0.0044366897962236,2.15368525315222,0.00281207576256928,2.20541469407215
CPLE6,201701,767,0.00231053336971111,3.56707940628244,0.00125914534479648,4.45618319887336
WEGE3,201701,797,0.00383207378914431,2.38492221032787,0.00212023693948594,2.75223551517833
CMIG3,201701,194,0.00021458660532675,6.92776390980358,0.00016108658144743,4.14176735619848
IDNT3,201701,218,0.000313168821984659,3.84406009849428,0.000334304740038052,2.75017829804473
GOAU3,201701,129,4.31171304404533e-05,2.42933461419353,8.84549032627355e-05,2.28810927742526
RUMO3,201701,837,0.00569978272265575,1.8699847123693,0.00587521560902429,1.56337555457192
TOTS3,201701,449,0.00273201419055253,3.59073533787872,0.00143992665930371,3.46882252450969
TECN3,201701,350,0.000404367366012611,2.78498458823262,0.000386860113324721,2.1315650347128
MRFG3,201701,733,0.000902620565186536,5.16993875506501,0.000389036706963146,5.87140995815587
VIVT4,201701,931,0.0117760371242352,1.88797045336443,0.00873346441926699,1.7496953420693
MYPK3,201701,569,0.00313839750450873,3.99581750976707,0.00163248587421552,5.52088154500903
BBDC3,201701,719,0.00330475824897186,1.96122497981437,0.00271878208091116,2.16584746306066
CRDE3,201701,191,0.00103969027407604,2.4266117603087,0.00123939077994069,2.1834262556161
MPLU3,201701,459,0.00113887877404539,4.26872618527487,0.000426916015563952,5.41082243189147
MAGG3,201701,256,0.000811614257175409,3.23127723382254,0.000566981616506988,3.41791390497088
LAME4,201701,827,0.00253316574417676,2.15252956686917,0.0018675768865468,1.99623154750674
GFSA3,201701,493,0.00244062310994159,6.05868002501995,0.00125668090928035,6.28136266935147
CSAN3,201701,891,0.00612040523966207,2.03640878993871,0.00499171470170628,1.99172505351911
ECOR3,201701,779,0.00246741416187024,3.1936546322247,0.00126003962842283,3.45394190316581
DTEX3,201701,604,0.00349054547290794,2.5378872322446,0.00300186920475569,2.64398782934334
CSNA3,201701,755,0.00176635524871288,4.37178542896035,0.000865199065797725,5.55182490650338
SANB11,201701,744,0.00236775633464676,2.60664560311099,0.00164567150737589,2.61231087508666
ODPV3,201701,548,0.00136054879819701,3.93369434017365,0.000968709714453154,3.93192304200769
PSSA3,201701,506,0.000722150632926942,3.70028521523829,0.000732736743247179,3.1093372899639
LPSB3,201701,316,0.00313419032369006,16.7225416306567,0.00157690028673087,23.7317213128135
