ym,ret_mercado_ew,hhi_agregado,hhi_agregado_lag,vol_passada_mercado,vol_passada_mercado_lag,w_hhi,w_volpassada,ret_buyhold,ret_hhi_managed,ret_vol_managed
202001,-0.0823258234836491,0.0219788743950692,0.0210125356993453,0.0540852675206245,0.0435747549608149,1.85855104960361,1.92687661299221,-0.0823258234836491,-0.153006745645018,-0.158631703915969
202002,-0.336756328732809,0.0230139584166158,0.0219788743950692,0.117485073428465,0.0540852675206245,1.77683668312026,1.25073657031521,-0.336756328732809,-0.598360998165361,-0.421193455631214
202003,0.124998059654245,0.0215177133967875,0.0230139584166158,0.123218529930283,0.117485073428465,1.69692104121714,0.265068687368768,0.124998059654245,0.212111837538602,0.0331330715961935
202004,0.0519438088817275,0.0210689393871628,0.0215177133967875,0.123887173815877,0.123218529930283,1.81491729900455,0.240974876606113,0.0519438088817275,0.0942737173156333,0.0125171529357258
202005,0.149425096477339,0.0209430978091531,0.0210689393871628,0.129867179125038,0.123887173815877,1.85357551992609,0.238380716820049,0.149425096477339,0.27697070089299,0.035620061609173
202006,0.0703071555953747,0.0203973040541644,0.0209430978091531,0.13008233117296,0.129867179125038,1.86471316873589,0.216932688351084,0.0703071555953747,0.131102678895059,0.0152519202736226
202007,-0.0221058258793395,0.0198508697254541,0.0203973040541644,0.1306089260044,0.13008233117296,1.9146094099077,0.216215682229108,-0.0221058258793395,-0.0423240222423645,-0.00477962622373928
202008,-0.0479281813985346,0.0201340608918575,0.0198508697254541,0.131874661381158,0.1306089260044,1.96731280890808,0.21447570112311,-0.0479281813985346,-0.0942897251730072,-0.0102794303090063
202009,-0.00972346628323271,0.0211572078073912,0.0201340608918575,0.131985088166099,0.131874661381158,1.93964200707494,0.210378375753024,-0.00972346628323271,-0.018860043657335,-0.00204560704335579
202010,0.139060977364387,0.0210035948210961,0.0211572078073912,0.13706512417948,0.131985088166099,1.84584235473684,0.210026492224801,0.139060977364387,0.256684641910287,0.0292064892811947
202011,0.0846526889040019,0.0204705353179781,0.0210035948210961,0.13276104982646,0.13706512417948,1.85934220363206,0.194746600334174,0.0846526889040019,0.157398317130146,0.0164858233732008
202012,-0.0223720106466878,0.0195843510352654,0.0204705353179781,0.133089580495249,0.13276104982646,1.90776008893884,0.207578541789572,-0.0223720106466878,-0.0426804290210658,-0.00464394934694024
202101,-0.0298390787292899,0.0186936727656415,0.0195843510352654,0.130682434814869,0.133089580495249,1.99408549246944,0.206554994396273,-0.0298390787292899,-0.0595016740027305,-0.00616341073971841
202102,0.0493807251628849,0.0597666216878699,0.0186936727656415,0.0705207394256494,0.130682434814869,2.08909564045809,0.214234484014726,0.0493807251628849,0.103161057660442,0.0105790541755436
202103,0.0845172236863037,0.0625125059415012,0.0597666216878699,0.0672278632102678,0.0705207394256494,0.653422749621093,0.735681945549231,0.0845172236863037,0.0552254766914456,0.0621777955539595
202104,0.0479973968311709,0.0575437035027641,0.0625125059415012,0.0671814631095463,0.0672278632102678,0.624720920888966,0.809515553259138,0.0479973968311709,0.0299849779486423,0.0388546392507837
202105,0.0336558383491953,0.0548484741641103,0.0575437035027641,0.0578826268033636,0.0671814631095463,0.678664526293058,0.810634152729,0.0336558383491953,0.0228410235902523,0.0272825720045841
202106,-0.0532086194795781,0.0555290747251823,0.0548484741641103,0.0612331083682603,0.0578826268033636,0.712013795716592,1.09201184471793,-0.0532086194795781,-0.0378852711204942,-0.0581044427127884
202107,-0.0377070034300631,0.052105166821187,0.0555290747251823,0.0623902487109048,0.0612331083682603,0.703286890194502,0.975778400972766,-0.0377070034300631,-0.0265188411808825,-0.0367936795124616
202108,-0.0690896807972039,0.0552464372396063,0.052105166821187,0.0647358636228812,0.0623902487109048,0.749500916346207,0.939918892281423,-0.0690896807972039,-0.0517827790675712,-0.0649386962429849
202109,-0.108977012613735,0.0550637368610596,0.0552464372396063,0.0742560698764325,0.0647358636228812,0.706884864076892,0.87303955414333,-0.108977012613735,-0.077034200748966,-0.0951412425041676
202110,-0.0321508103206691,0.062129847496074,0.0550637368610596,0.0627228654777224,0.0742560698764325,0.709230293929966,0.663528976297713,-0.0321508103206691,-0.0228023286538148,-0.0213329942592155
202111,0.0489588420976497,0.0581248105611154,0.062129847496074,0.0588405591686721,0.0627228654777224,0.62856858422708,0.929976621906044,0.0489588420976497,0.0307739900627168,0.0455305785864037
202112,0.069271694167782,0.0214228248892866,0.0581248105611154,0.0625513276621034,0.0588405591686721,0.671879527896085,1.0567450697536,0.069271694167782,0.0465422331740114,0.0732025212852831
202201,-0.0492476573364781,0.0530743673510573,0.0214228248892866,0.0636410478509069,0.0625513276621034,1.8229561451712,0.93508426399076,-0.0492476573364781,-0.0897763195768184,-0.0460507094137498
202203,-0.0868959896194449,0.0589228636358556,0.0530743673510573,0.0658785706554522,0.0636410478509069,0.735814145848195,0.903335690400296,-0.0868959896194449,-0.0639392983794655,-0.0784962487758982
202205,-0.144547392904602,0.0512035690947228,0.0589228636358556,0.0682786265898903,0.0658785706554522,0.662779570935301,0.843015339334851,-0.144547392904602,-0.0958030590491284,-0.121855669479441
202206,0.0623826916560758,0.0507811460942062,0.0512035690947228,0.0699142368086158,0.0682786265898903,0.762698205795121,0.784791443225443,0.0623826916560758,0.0475791669987593,0.0489574026170595
202208,-0.00448657418256114,0.0499142641411722,0.0507811460942062,0.0675530831499777,0.0699142368086158,0.769042711371717,0.748501319604476,-0.00448657418256114,-0.00345036717412716,-0.00335820669615039
202209,0.0459177620298813,0.0500479820788265,0.0499142641411722,0.0709408274135569,0.0675530831499777,0.782398998578815,0.801739835052138,0.0459177620298813,0.0359260110291595,0.0368140989558003
202210,-0.0944085845471199,0.0470218831688637,0.0500479820788265,0.0736605687314538,0.0709408274135569,0.780308589012492,0.72699481543195,-0.0944085845471199,-0.0736678293986297,-0.0686345514980251
202211,-0.0257356054708501,0.0484199776958779,0.0470218831688637,0.0726397533343836,0.0736605687314538,0.830525441497228,0.67430080373888,-0.0257356054708501,-0.0213740750958763,-0.0173535394537009
202301,0.0397967864422437,0.0431709174104133,0.0484199776958779,0.0699595865408999,0.0726397533343836,0.806544573897568,0.693386036017047,0.0397967864422437,0.0320978821635519,0.0275945359974043
202302,-0.0226194458305719,0.0451479830650571,0.0431709174104133,0.069791930609539,0.0699595865408999,0.904610618013681,0.747531235751511,-0.0226194458305719,-0.0204617908719207,-0.0169087422937418
202303,0.0373498569200852,0.0452725891306729,0.0451479830650571,0.0689229922745726,0.069791930609539,0.864997008229081,0.751127026197406,0.0373498569200852,0.0323075144936579,0.0280544869572822
202305,0.114187681836301,0.0423359740982603,0.0452725891306729,0.0748471466931142,0.0689229922745726,0.862616232664119,0.770185902124024,0.114187681836301,0.0985001479222789,0.0879457427465425
202306,0.0251213422461854,0.0452346384102943,0.0423359740982603,0.0744423149291452,0.0748471466931142,0.922451203985794,0.653090422504441,0.0251213422461854,0.0231732124007329,0.0164065080214399
202307,-0.046405268413971,0.0475382042206382,0.0452346384102943,0.0712155156364952,0.0744423149291452,0.863339945919942,0.660213002044273,-0.046405268413971,-0.0400635219229181,-0.0306373615702581
202308,-0.0161051735419827,0.0470151433632403,0.0475382042206382,0.0556504068359272,0.0712155156364952,0.821504954154268,0.721397389571443,-0.0161051735419827,-0.013230479852253,-0.0116182301517814
202310,0.119635387523994,0.0440111954724739,0.0470151433632403,0.0626078816453367,0.0556504068359272,0.830644500584164,1.18137323006848,0.119635387523994,0.0993744767220612,0.141334044189715
202311,0.0719775204561548,0.0427689504837902,0.0440111954724739,0.0643820177057695,0.0626078816453367,0.887339456690663,0.933395695274202,0.0719775204561548,0.0638684938955055,0.0671835077502857
202401,0.0191515961561906,0.0463803289182145,0.0427689504837902,0.0638916974056752,0.0643820177057695,0.913112663207692,0.882662439992937,0.0191515961561906,0.0174875649708574,0.0169043945929826
202402,0.0121818672179612,0.0456903082338808,0.0463803289182145,0.0532996445972051,0.0638916974056752,0.842013655136342,0.896261952518792,0.0121818672179612,0.0102572985425811,0.0109181440980946
202404,-0.0382269309128065,0.0467795225926279,0.0456903082338808,0.0545388297855771,0.0532996445972051,0.854729849467127,1.28787936992216,-0.0382269309128065,-0.0326736989046933,-0.0492316756980431
202405,-0.0167763846742708,0.0468037226193306,0.0467795225926279,0.0557023116721379,0.0545388297855771,0.834828320479825,1.23002002598645,-0.0167763846742708,-0.014005401041345,-0.0206352891130053
202407,0.0476334121610255,0.046859355689917,0.0468037226193306,0.0543039659525274,0.0557023116721379,0.834396669608545,1.17917258837613,0.0476334121610255,0.0397451604692508,0.0561680139111035
202409,0.0108106951363602,0.0508469916017515,0.046859355689917,0.0544056567914443,0.0543039659525274,0.833406044617357,1.24068267021074,0.0108106951363602,0.00900969867315807,0.0134126421086136
202410,-0.0386026662081274,0.0514101975035884,0.0508469916017515,0.049346920881716,0.0544056567914443,0.768046821427019,1.23604902881818,-0.0386026662081274,-0.0296486550797604,-0.047714788076348
202412,0.0548370661269238,0.0539247664275295,0.0514101975035884,0.0507613756957934,0.049346920881716,0.759632761109812,1.50246268502167,0.0548370661269238,0.0416560319531565,0.0823906456117689
