horizonte,r2_oos_pct,n_meses,spread_pp,t_fm,p_fm
1,-2.33764063500754,23,-0.3675909135764,-0.263453570809577,0.794652857457858
3,-8.29318151668617,16,-1.93735515436435,-1.02134360489847,0.323282555265443
6,-3.05577286687324,13,-3.69405500073132,-1.65752763635126,0.123304685864202
