piso_pct,min_peers,ponderado,h,n_treino,n_teste,r2_oos_pct,n_meses,spread_pp,t_fm,p_fm
0.5,3,FALSE,1,9597,7185,1.66463640767802,7,-1.63769326199843,-0.435353595176342,0.678530309204672
0.5,3,FALSE,2,9568,6821,-2.54348502544548,7,4.56013045547256,0.681178565224939,0.521166818861032
0.5,3,FALSE,3,9535,6454,2.1734471915393,7,-3.27752078273943,-2.70021411425284,0.0355658731035702
0.5,3,TRUE,1,9597,7185,1.5453063703818,22,2.96378410893641,2.41370354742889,0.0250075452949384
0.5,3,TRUE,2,9568,6821,-1.26836969700228,21,0.776994617138296,0.537639920684528,0.596757934337688
0.5,3,TRUE,3,9535,6454,1.94795886302657,19,1.73106528025806,0.718192599256063,0.481857317487551
0.5,5,FALSE,1,9592,7185,1.65339600072064,5,,,
0.5,5,FALSE,2,9563,6821,-2.43645714066574,4,,,
0.5,5,FALSE,3,9530,6454,2.17367295677955,4,,,
0.5,5,TRUE,1,9592,7185,1.54216010328549,21,4.18930750378446,2.24621172180861,0.036144477557413
0.5,5,TRUE,2,9563,6821,-1.28782204130582,20,0.909676621963066,0.601049802504617,0.554910377351215
0.5,5,TRUE,3,9530,6454,1.95303321159698,18,2.12636269691539,0.838027381177693,0.413643156378491
0.5,10,FALSE,1,9509,7072,1.70847276936612,1,,,
0.5,10,FALSE,2,9481,6711,-2.68423207764195,1,,,
0.5,10,FALSE,3,9450,6347,2.3885413838469,1,,,
0.5,10,TRUE,1,9509,7072,1.58948717652083,21,3.36051899684237,1.62038619687317,0.120810123666648
0.5,10,TRUE,2,9481,6711,-1.35619259653288,20,2.32944684159202,1.40642358027765,0.175743799229402
0.5,10,TRUE,3,9450,6347,2.09309131175873,18,2.74592452490692,1.00146229130763,0.330645913371976
0.6,3,FALSE,1,9597,7185,1.66722385118993,9,2.56558584767829,1.0365368636727,0.330264330237603
0.6,3,FALSE,2,9568,6821,-2.31837045134509,8,3.44062639442633,0.672771847494141,0.522673853738663
0.6,3,FALSE,3,9535,6454,2.23355737718612,8,-5.28153986568029,-3.53075890705709,0.00958804564059792
0.6,3,TRUE,1,9597,7185,1.53823703036926,22,3.8892797877585,2.90198610020482,0.00852626992684754
0.6,3,TRUE,2,9568,6821,-1.21591733812048,21,1.0617762787396,0.677849061104158,0.505634500605487
0.6,3,TRUE,3,9535,6454,1.96328043465102,19,1.30797142221488,0.541118901738457,0.595059917980668
0.6,5,FALSE,1,9592,7185,1.64770866137606,5,,,
0.6,5,FALSE,2,9563,6821,-2.2512009781811,4,,,
