horizonte,n_treino,n_teste,beta_treino,rmse_modelo,rmse_naive,margem_pct,r2_oos_pct
0,9272,7115,-0.0211158675818591,0.163620536752576,0.163688960191287,0.0418008878737371,0.0835843026051886
1,9261,6846,0.0627162222752875,0.164669471194318,0.164297459913135,-0.226425461099432,-0.453363607093182
3,9201,6800,-0.267598299854683,0.148283612942567,0.14668105189991,-1.09254809799913,-2.19703280946264
6,9099,6725,-0.214051600271517,0.143387961061791,0.142389934323246,-0.700911018246197,-1.40673479904736
12,8917,6545,-0.138140332683269,0.140268430339006,0.140015862659924,-0.180385046582521,-0.361095480815377
