sinal,horizonte,n_meses,spread_medio_pp,t_fm,p_fm
Crowding (HHI posse),1,61,-0.154267324908232,-0.19957742400938,0.842485929863913
Crowding (HHI posse),3,60,0.397041256414865,0.674502714323663,0.502626249652822
Crowding (HHI posse),6,58,1.41544208929638,1.20167437043633,0.234458762881402
