sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Best Ideas (nivel),1,24,22,0.540963103333151,0.556697691220722,0.787289425066134,0.43915059401014,FALSE
Best Ideas (nivel),3,22,22,0.258188935098393,0.243647943364941,0.329900874851225,0.744743098651622,FALSE
Best Ideas (nivel),6,19,21,-0.0986781920832653,-0.100354074398472,-0.126276107768884,0.900913188230087,FALSE
Conviccao crescente (top-3),1,24,11,-0.592186272322561,-0.44532596582684,-0.629786020549214,0.535041510561148,FALSE
Conviccao crescente (top-3),3,22,10,0.293614269006991,0.273882535216751,0.370838705743324,0.71447224654285,FALSE
Conviccao crescente (top-3),6,19,9,-0.186008310209053,-0.152089396826492,-0.191374960900035,0.850374001843447,FALSE
Conviccao crescente|Best-Idea POPULAR,1,24,6,0.0311217464343985,0.0154878865073975,0.0219031791512568,0.982714104833899,FALSE
Conviccao crescente|Best-Idea POPULAR,3,22,5,0.561152628231913,0.425537098591922,0.576179955259688,0.570617875482255,FALSE
Conviccao crescente|Best-Idea POPULAR,6,19,5,0.726775556986794,0.396797917282771,0.499293096624197,0.62362048306813,FALSE
