estrategia,sharpe,ret_anual_pct,max_dd_pct,t,p,n_meses
"BAC (long baixa-corr, short alta-corr), liq top50%",0.3936479616698,12.1232180784699,-26.0950035362146,0.894773737650143,0.374425142626386,62
"Long-only baixa-corr MENOS benchmark, liq top50%",0.378091443569779,7.5178572154975,-14.735872699897,0.859413300913388,0.393477406485447,62
"BAC (long baixa-corr, short alta-corr), liq top67%",0.311413859065606,7.99905990099198,-32.0552936941939,0.707853132149381,0.481732426240697,62
"Long-only baixa-corr MENOS benchmark, liq top67%",0.312765288431964,4.98931136590729,-18.2977398486005,0.710924972024219,0.479840312039038,62
"BAC (long baixa-corr, short alta-corr), liq top100%",0.157936627791461,3.51525303175966,-42.2679600551036,0.358994737738196,0.720838666083845,62
"Long-only baixa-corr MENOS benchmark, liq top100%",0.189029160758525,2.53442319079591,-22.827847649107,0.429669006742252,0.668950406533218,62
