evento,alvo,coef,t,p,n
Joesley Day (mai/2017),ret_evento,0.0540742455853596,1.34603202016279,0.179778802668162,207
Joesley Day (mai/2017),ret_pos3,-0.062806809128273,-0.904902432974879,0.366579313382282,207
Joesley Day (mai/2017),vol_pos6,0.0460860292407623,2.75583882658075,0.00638169255787658,207
Greve caminhoneiros (mai/2018),ret_evento,0.00235228308723535,0.0404291072538258,0.967788026647698,220
Greve caminhoneiros (mai/2018),ret_pos3,-0.112071660980008,-1.69956890501077,0.0906384076608146,220
Greve caminhoneiros (mai/2018),vol_pos6,0.0394059476434975,1.33117845611603,0.184520736708786,220
Choque organico nov/2017,ret_evento,-0.0649712478589641,-1.7567074671925,0.0804251482778635,212
Choque organico nov/2017,ret_pos3,-0.0445268752467801,-0.591467465945885,0.554843391902514,212
Choque organico nov/2017,vol_pos6,0.0621598900443903,3.26149439160965,0.00129325798942753,212
Choque organico abr/2019,ret_evento,-0.200931269040366,-2.84732006377347,0.00484663151938234,212
Choque organico abr/2019,ret_pos3,0.231850528705298,1.39323637017139,0.165021271660592,212
Choque organico abr/2019,vol_pos6,0.117572974467793,2.48650687355776,0.0136798633647647,212
