ym,ret_baixo_hhi,ret_alto_hhi,spread,ret_mercado_ew
202001,-0.0898281107730452,-0.0817794198672043,-0.00804869090584094,-0.0823258234836491
202002,-0.350172344317989,-0.322035613853278,-0.0281367304647115,-0.336756328732809
202003,0.14296987680461,0.116045578175846,0.0269242986287638,0.124998059654245
202004,0.0812174560678805,0.0384235226401897,0.0427939334276908,0.0519438088817275
202005,0.110946235447687,0.183265940787244,-0.0723197053395573,0.149425096477339
202006,0.0910626149610183,0.0547337287466698,0.0363288862143485,0.0703071555953747
202007,-0.027554946817409,-0.0134818806037493,-0.0140730662136597,-0.0221058258793395
202008,-0.0543697039801821,-0.0427210670924823,-0.0116486368876999,-0.0479281813985346
202009,-0.00952732751514214,0.0458865927873739,-0.055413920302516,-0.00972346628323271
202010,0.108383628271978,0.120629971280698,-0.0122463430087201,0.139060977364387
202011,0.0859806082743425,0.10246230741272,-0.0164816991383772,0.0846526889040019
202012,-0.0253977377900107,-0.0344252028245046,0.00902746503449393,-0.0223720106466878
202101,-0.0330297121668598,-0.032582370549304,-0.000447341617555809,-0.0298390787292899
202102,0.0374423445850208,0.123696167818133,-0.0862538232331119,0.0493807251628849
202103,0.0472987529872124,0.151730608591332,-0.104431855604119,0.0845172236863037
202104,0.0525673452327426,0.0347315249536217,0.0178358202791209,0.0479973968311709
202105,0.0042802943738267,0.0323414507856445,-0.0280611564118178,0.0336558383491953
202106,-0.044231472701537,-0.0296084107224181,-0.0146230619791189,-0.0532086194795781
202107,-0.0263217442985427,-0.0299751293305263,0.00365338503198367,-0.0377070034300631
202108,-0.0544963228619956,-0.0654589201725447,0.010962597310549,-0.0690896807972039
202109,-0.100054725312857,-0.0932560226370533,-0.00679870267580345,-0.108977012613735
202110,-0.0232291041612558,-0.0520499722259855,0.0288208680647296,-0.0321508103206691
202111,0.0258122505431409,0.0570362728867425,-0.0312240223436016,0.0489588420976497
202112,0.0161755316440018,0.187081395486148,-0.170905863842146,0.069271694167782
202201,-0.0246742947266343,-0.0548527479356504,0.0301784532090161,-0.0492476573364781
202203,-0.0766996475658643,-0.0754835492125391,-0.00121609835332522,-0.0868959896194449
202205,-0.130638622479633,-0.130635193241133,-3.42923850005228e-06,-0.144547392904602
202206,0.0758953159511196,0.0684343388014873,0.00746097714963225,0.0623826916560758
202208,-0.00561495427656433,-0.0261459906402245,0.0205310363636602,-0.00448657418256114
202209,0.0765265451237608,0.0089970650304397,0.0675294800933211,0.0459177620298813
202210,-0.0956493809298582,-0.0830276557695718,-0.0126217251602864,-0.0944085845471199
202211,-0.0293112625160365,0.00443369910380892,-0.0337449616198454,-0.0257356054708501
202301,0.520587868191616,-0.0712909759054936,0.59187884409711,0.0397967864422437
202302,-0.0308707418308935,-0.0281182000102684,-0.00275254182062509,-0.0226194458305719
202303,0.00254058738493793,0.0737286524041161,-0.0711880650191782,0.0373498569200852
202305,0.0780636228261689,0.106905013879303,-0.0288413910531341,0.114187681836301
202306,0.0433344007774496,0.00877532357324503,0.0345590772042046,0.0251213422461854
202307,-0.0720657245294128,0.0153845881422912,-0.0874503126717041,-0.046405268413971
202308,-0.0220680978167542,-0.00178365786995447,-0.0202844399467998,-0.0161051735419827
202310,0.137715113031425,0.079304334375881,0.0584107786555437,0.119635387523994
202311,0.0760754712804098,0.0680609794915307,0.00801449178887913,0.0719775204561548
202401,0.00137356135130207,0.00508742234044042,-0.00371386098913835,0.0191515961561906
202402,0.00313332865359696,0.000684396456336748,0.00244893219726021,0.0121818672179612
202404,-0.0241957721019839,-0.0429013266000317,0.0187055544980478,-0.0382269309128065
202405,-0.00282247063957327,-0.0310645766805283,0.0282421060409551,-0.0167763846742708
202407,0.0516654200031106,0.038458115013789,0.0132073049893216,0.0476334121610255
202409,-0.0105952654877716,-0.0503339724575599,0.0397387069697883,0.0108106951363602
202410,-0.0551049010573228,-0.015137042809752,-0.0399678582475708,-0.0386026662081274
202412,0.0793929540006324,0.0515619051610818,0.0278310488395506,0.0548370661269238
202501,-0.0273779212469987,-0.0375376651382382,0.0101597438912395,-0.033382459212304
202502,0.0545153611912265,0.0286753090482778,0.0258400521429487,0.0552144444795695
202503,0.0928696000342671,0.0515661592134112,0.0413034408208558,0.0591013697922273
202504,0.0637203401270314,0.0881969701703462,-0.0244766300433148,0.043539091235879
202506,-0.0570078501396566,-0.0619976467558298,0.00498979661617322,-0.0543222442797144
202507,0.0744849000704247,0.049510171223755,0.0249747288466697,0.0482768235597442
202509,0.0154909390104988,0.0145228328003944,0.000968106210104416,0.0164038655413362
202510,0.0558446424864727,0.00327511334649928,0.0525695291399734,0.0407010473496833
202512,0.0789535380394699,0.0497081226404409,0.029245415399029,0.07765538005115
202603,-0.0132950174044433,-0.0244886927565068,0.0111936753520634,-0.0135085606744782
202604,-0.0641559706655584,-0.0467205681571418,-0.0174354025084166,-0.0546394295220632
202606,0.0199980487908457,0.00604357217413738,0.0139544766167083,-0.00809762765237562
202607,-0.0322354489292829,-0.0291475041491431,-0.00308794478013976,-0.0300980523585562
