ticker,ym,retorno,pred,media_ingenua,refit_em,melhor_iter,quintil
AALR3,202001,0.103984421651206,0.0350048467516899,0.0205526299766685,202001,211,2
ABCB4,202001,-0.00142046268843443,0.0575039647519589,0.0205526299766685,202001,211,4
ABEV3,202001,-0.0169732458598522,0.0320348925888538,0.0205526299766685,202001,211,2
AGRO3,202001,0.00333975373523887,0.0813539624214172,0.0205526299766685,202001,211,5
ALPA3,202001,0.0713421496578048,0.0831321105360985,0.0205526299766685,202001,211,5
ALPA4,202001,0.0744535498313883,0.0678145959973335,0.0205526299766685,202001,211,5
ALUP11,202001,0.00834378637864885,0.0434316918253899,0.0205526299766685,202001,211,3
AMAR3,202001,-0.0227544989126142,0.0421636067330837,0.0205526299766685,202001,211,3
ANIM3,202001,0.169719227807722,0.0453800112009049,0.0205526299766685,202001,211,3
APER3,202001,-0.004,0.0551586337387562,0.0205526299766685,202001,211,3
ARZZ3,202001,0.101461377870564,0.0706180259585381,0.0205526299766685,202001,211,5
AZEV4,202001,-0.0955413851551062,0.0552207455039024,0.0205526299766685,202001,211,3
AZUL4,202001,0.0099453008453505,0.0564746744930744,0.0205526299766685,202001,211,4
B3SA3,202001,0.154646727250717,0.031170666217804,0.0205526299766685,202001,211,2
BBAS3,202001,0.0444791328803551,0.0430484227836132,0.0205526299766685,202001,211,3
BBDC3,202001,0.0943331126035878,0.0243023987859488,0.0205526299766685,202001,211,1
BBDC4,202001,0.0850303557517549,0.0341988615691662,0.0205526299766685,202001,211,2
BBRK3,202001,-0.0297872340425533,0.0741056799888611,0.0205526299766685,202001,211,5
BBSE3,202001,0.0205356847872493,0.0249470751732588,0.0205526299766685,202001,211,1
BEEF11,202001,-0.00257400257400253,0.0777279883623123,0.0205526299766685,202001,211,5
BEEF3,202001,0.0326995021912599,0.0608531981706619,0.0205526299766685,202001,211,4
BIDI4,202001,0.429166666666666,0.0512785501778126,0.0205526299766685,202001,211,3
BKBR3,202001,-0.0786713286713288,0.0634199902415276,0.0205526299766685,202001,211,4
BPAC11,202001,0.126876858472364,0.0556707009673119,0.0205526299766685,202001,211,4
BPAN4,202001,0.121590909090909,0.0740377679467201,0.0205526299766685,202001,211,5
BRAP3,202001,0.155669003267325,0.0204975493252277,0.0205526299766685,202001,211,1
BRAP4,202001,0.179128916724444,0.0272297263145447,0.0205526299766685,202001,211,1
BRDT3,202001,0.0533642691415313,0.0422302447259426,0.0205526299766685,202001,211,3
BRFS3,202001,-0.0263405456255881,0.0290784947574139,0.0205526299766685,202001,211,1
BRGE3,202001,-0.0959276018099547,0.0475643053650856,0.0205526299766685,202001,211,3
BRIV3,202001,-0.0703218116805722,0.0145127680152655,0.0205526299766685,202001,211,1
BRKM5,202001,-0.0180878503070195,0.0275092646479607,0.0205526299766685,202001,211,1
BRML3,202001,-0.0178571428571428,0.0659743249416351,0.0205526299766685,202001,211,4
BRPR3,202001,0.039237593778368,0.0528959631919861,0.0205526299766685,202001,211,3
BRSR3,202001,-0.0571776539746121,0.0221116300672293,0.0205526299766685,202001,211,1
BRSR6,202001,0.0523984041189416,0.0243616942316294,0.0205526299766685,202001,211,1
BTOW3,202001,0.114619336758524,0.0291115008294582,0.0205526299766685,202001,211,1
CAML3,202001,0.0971482333402165,0.033676203340292,0.0205526299766685,202001,211,2
CCPR3,202001,-0.0474620962425841,0.0343510061502457,0.0205526299766685,202001,211,2
CCRO3,202001,0.0317241379310345,0.0263266786932945,0.0205526299766685,202001,211,1
CESP3,202001,0.0969230769230769,0.0895938500761986,0.0205526299766685,202001,211,5
CESP6,202001,0.10382890651949,0.0355264246463776,0.0205526299766685,202001,211,2
CGRA4,202001,-0.0274074906251411,0.0617823600769043,0.0205526299766685,202001,211,4
CIEL3,202001,0.162337662337662,0.0325752124190331,0.0205526299766685,202001,211,2
CLSC4,202001,0.0112146545540204,0.0679274275898933,0.0205526299766685,202001,211,5
CMIG3,202001,0.0277540347828591,0.0256699193269014,0.0205526299766685,202001,211,1
CMIG4,202001,0.0889288238172032,0.0292513873428106,0.0205526299766685,202001,211,1
COCE5,202001,0.166871203727246,0.0359045155346394,0.0205526299766685,202001,211,2
COGN3,202001,0.252647618685543,0.0365776568651199,0.0205526299766685,202001,211,2
CPFE3,202001,0.0832353025229835,0.030693581327796,0.0205526299766685,202001,211,1
CPLE3,202001,0.0981138119999525,0.0596005730330944,0.0205526299766685,202001,211,4
CPLE6,202001,0.0914172969417955,0.0515344142913818,0.0205526299766685,202001,211,3
CPRE3,202001,0.0122154358689617,0.0381705164909363,0.0205526299766685,202001,211,2
CRDE3,202001,-0.0313043478260869,0.0717655569314957,0.0205526299766685,202001,211,5
CRFB3,202001,0.13620253164557,0.0273581612855196,0.0205526299766685,202001,211,1
CRIV3,202001,0.00970873786407767,0.0163528341799974,0.0205526299766685,202001,211,1
CRPG5,202001,-0.0526085568432424,0.11039774864912,0.0205526299766685,202001,211,5
CSAN3,202001,0.274675453368328,0.0684888809919357,0.0205526299766685,202001,211,5
CSMG3,202001,-0.0631979640817528,0.0247558820992708,0.0205526299766685,202001,211,1
CSNA3,202001,0.147003516415244,0.0263631865382195,0.0205526299766685,202001,211,1
CTNM4,202001,0.041237072858995,0.016063516959548,0.0205526299766685,202001,211,1
CVCB3,202001,0.218634578484765,0.0405840389430523,0.0205526299766685,202001,211,2
CYRE3,202001,0.21181080540243,0.0716768130660057,0.0205526299766685,202001,211,5
DIRR3,202001,0.0286259093201182,0.0782331302762032,0.0205526299766685,202001,211,5
DTEX3,202001,0.25194401244168,0.064665250480175,0.0205526299766685,202001,211,4
ECOR3,202001,0.119506606092428,0.0570604167878628,0.0205526299766685,202001,211,4
EGIE3,202001,0.0969351978445276,0.0386612042784691,0.0205526299766685,202001,211,2
ELET3,202001,0.191612903225806,0.0417076200246811,0.0205526299766685,202001,211,2
ELET6,202001,0.192617866004963,0.0336910896003246,0.0205526299766685,202001,211,2
EMBR3,202001,-0.0593325092707046,0.0340104922652245,0.0205526299766685,202001,211,2
ENBR3,202001,0.065442020665901,0.0647023096680641,0.0205526299766685,202001,211,4
ENEV3,202001,0.119831023666134,0.0663375332951546,0.0205526299766685,202001,211,4
ENGI11,202001,-0.0193120515386735,0.0441659912467003,0.0205526299766685,202001,211,3
ENGI4,202001,0.0297823250894718,0.0597887672483921,0.0205526299766685,202001,211,4
EQPA3,202001,-0.00884962987367632,0.0841522291302681,0.0205526299766685,202001,211,5
EQTL3,202001,0.113749716808866,0.0675370469689369,0.0205526299766685,202001,211,5
EUCA4,202001,-0.0292757838139901,0.0613255687057972,0.0205526299766685,202001,211,4
EVEN3,202001,0.336347150689358,0.0330835022032261,0.0205526299766685,202001,211,2
EZTC3,202001,0.0318294183937968,0.0506010763347149,0.0205526299766685,202001,211,3
FESA4,202001,-0.0586388986856125,0.105971992015839,0.0205526299766685,202001,211,5
FHER3,202001,-0.00671140295251804,0.0528064332902432,0.0205526299766685,202001,211,3
FLRY3,202001,0.0414802217163683,0.0446106679737568,0.0205526299766685,202001,211,3
GFSA3,202001,-0.0333333408928397,0.0681600496172905,0.0205526299766685,202001,211,5
GGBR3,202001,0.0951670338332793,0.0327746123075485,0.0205526299766685,202001,211,2
GGBR4,202001,0.0899436290241573,0.0350811034440994,0.0205526299766685,202001,211,2
GNDI3,202001,-0.018379650051463,0.0568249151110649,0.0205526299766685,202001,211,4
GOAU3,202001,0.102255942971477,0.0243139322847128,0.0205526299766685,202001,211,1
GOAU4,202001,0.0998632329568288,0.0302798021584749,0.0205526299766685,202001,211,1
GOLL4,202001,-0.0345013477088949,0.047405518591404,0.0205526299766685,202001,211,3
GRND3,202001,0.0395635253667137,0.0666716322302818,0.0205526299766685,202001,211,4
GUAR3,202001,0.0107587768969424,0.0816424563527107,0.0205526299766685,202001,211,5
HAPV3,202001,0.0477722353733414,0.0325006656348705,0.0205526299766685,202001,211,2
HBOR3,202001,0.0101696523667765,0.0563788525760174,0.0205526299766685,202001,211,4
HGTX3,202001,0.0335195530726258,0.0608099959790707,0.0205526299766685,202001,211,4
HYPE3,202001,0.0846848026628544,0.0711370036005974,0.0205526299766685,202001,211,5
IDNT3,202001,0.674603174603175,0.0433469489216805,0.0205526299766685,202001,211,3
IGTA3,202001,0.00599700149925031,0.052542869001627,0.0205526299766685,202001,211,3
IRBR3,202001,-0.215956965273699,0.0404971167445183,0.0205526299766685,202001,211,2
ITSA3,202001,0.108576851450826,0.0279687661677599,0.0205526299766685,202001,211,1
ITSA4,202001,0.112616684085092,0.0356456823647022,0.0205526299766685,202001,211,2
ITUB3,202001,0.0381484596215751,0.0561807602643967,0.0205526299766685,202001,211,4
ITUB4,202001,0.0572049997022042,0.0225079320371151,0.0205526299766685,202001,211,1
JBSS3,202001,0.0184397163120569,0.0416143909096718,0.0205526299766685,202001,211,2
JHSF3,202001,0.298591546140907,0.0543157942593098,0.0205526299766685,202001,211,3
JOPA3,202001,0.125000035638186,0.0110119273886085,0.0205526299766685,202001,211,1
JPSA3,202001,0.0875435540069685,0.0416174866259098,0.0205526299766685,202001,211,2
KEPL3,202001,0.166889323783603,0.0707055330276489,0.0205526299766685,202001,211,5
KLBN11,202001,0.00435190517995676,0.037547130137682,0.0205526299766685,202001,211,2
KLBN3,202001,0.00719458227626868,0.0489253662526608,0.0205526299766685,202001,211,3
KLBN4,202001,0,0.0515440814197063,0.0205526299766685,202001,211,3
KROT11,202001,0.252647503782148,0.0266032107174397,0.0205526299766685,202001,211,1
LAME3,202001,0.129079574624129,0.0628411173820496,0.0205526299766685,202001,211,4
LAME4,202001,0.0596643878185208,0.0363443940877914,0.0205526299766685,202001,211,2
LCAM3,202001,0.12994683992912,0.043574258685112,0.0205526299766685,202001,211,3
LEVE3,202001,0.0189840689922398,0.0573686435818672,0.0205526299766685,202001,211,4
LIGT3,202001,0.139927668947899,0.0567560456693173,0.0205526299766685,202001,211,4
LINX3,202001,0.0430149960536701,0.0752610191702843,0.0205526299766685,202001,211,5
LLIS3,202001,-0.192753623188406,0.0300835687667131,0.0205526299766685,202001,211,1
LOGG3,202001,0.116843738409521,0.0659920573234558,0.0205526299766685,202001,211,4
LOGN3,202001,0.0833332844770682,0.0311359670013189,0.0205526299766685,202001,211,1
LPSB3,202001,-0.125939868100132,0.0735394135117531,0.0205526299766685,202001,211,5
LREN3,202001,-0.0160286951689933,0.044696431607008,0.0205526299766685,202001,211,3
MDIA3,202001,-0.0376749023766971,0.0366938449442387,0.0205526299766685,202001,211,2
MEAL3,202001,0.00999999046325684,0.0643725991249085,0.0205526299766685,202001,211,4
MGLU3,202001,0.127723079733673,0.0556864477694035,0.0205526299766685,202001,211,4
MILS3,202001,0.41851868503834,0.0720969587564468,0.0205526299766685,202001,211,5
MOAR3,202001,0.266666666666667,0.0317462086677551,0.0205526299766685,202001,211,2
MOVI3,202001,0.266159793229671,0.0365330688655376,0.0205526299766685,202001,211,2
MRFG3,202001,0.14274385408406,0.0491881929337978,0.0205526299766685,202001,211,3
MRVE3,202001,0.063333299409146,0.0556628219783306,0.0205526299766685,202001,211,3
MULT3,202001,0.0312198777436477,0.0338714458048344,0.0205526299766685,202001,211,2
MYPK3,202001,-0.0495562943423529,0.0616049133241177,0.0205526299766685,202001,211,4
ODPV3,202001,-0.0288123682361209,0.032365158200264,0.0205526299766685,202001,211,2
OFSA3,202001,0.108214357761526,0.0684193074703217,0.0205526299766685,202001,211,5
OIBR3,202001,0.516666666666667,0.0349079556763172,0.0205526299766685,202001,211,2
OMGE3,202001,0.0498409331919407,0.0590808726847172,0.0205526299766685,202001,211,4
PARD3,202001,0.271571298819255,0.0292858574539423,0.0205526299766685,202001,211,1
PETR3,202001,0.0264876022932297,0.0201518516987562,0.0205526299766685,202001,211,1
PETR4,202001,0.0301828551269991,0.0243260897696018,0.0205526299766685,202001,211,1
PFRM3,202001,0.159292203819285,0.0973910987377167,0.0205526299766685,202001,211,5
PNVL3,202001,-0.0939393780750923,0.0431723073124886,0.0205526299766685,202001,211,3
PNVL4,202001,-0.0779702970297028,0.0197453126311302,0.0205526299766685,202001,211,1
POMO3,202001,-0.00360978758868746,0.0979383215308189,0.0205526299766685,202001,211,5
POMO4,202001,0.0170649853089195,0.0554863400757313,0.0205526299766685,202001,211,3
POSI3,202001,0.00769233266281955,0.0715079978108406,0.0205526299766685,202001,211,5
PRIO3,202001,0.1186776050671,0.0954240188002586,0.0205526299766685,202001,211,5
PSSA3,202001,0.0715984585865284,0.0510163344442844,0.0205526299766685,202001,211,3
PTBL3,202001,0.0337349639661735,0.0542493723332882,0.0205526299766685,202001,211,3
QUAL3,202001,-0.0344827353919749,0.0808027759194374,0.0205526299766685,202001,211,5
RADL3,202001,0.121858627329383,0.0382652767002583,0.0205526299766685,202001,211,2
RAIL3,202001,-0.0120053275478846,0.0498357526957989,0.0205526299766685,202001,211,3
RAPT3,202001,0.160342683625387,-0.00189831887837499,0.0205526299766685,202001,211,1
RAPT4,202001,0.222684741018747,0.0562517195940018,0.0205526299766685,202001,211,4
RDNI3,202001,0.106122448979592,0.00862575508654118,0.0205526299766685,202001,211,1
RENT3,202001,0.244683537335643,0.0667677223682404,0.0205526299766685,202001,211,4
RLOG3,202001,0.0630252100840336,0.0690716728568077,0.0205526299766685,202001,211,5
