sinal,horizonte,n_meses,spread_pp,t_fm,p_fm
CIO (SO fim-trimestre),1,15,0.391445603727076,0.2886092999792,0.777109510126771
CIO (SO nao-fim-trimestre),1,39,2.31080809150738,1.68741762988706,0.0997162288505323
CIO (SO dezembro),1,3,-0.456341546581285,-0.204131565968848,0.857137769702979
