alvo,media_coef,dp_coef,n_eventos,t,p
ret_evento,-0.0523689970566837,0.110384400750256,4,-0.948847784664217,0.412698884615863
ret_pos3,0.00311129583755932,0.155137940879191,4,0.0401100571520688,0.970525424939159
vol_pos6,0.0663062103491107,0.0354868658001584,4,3.7369437313799,0.0334147212506773
