ticker,ym,n_fundos,n_fundos_com_churn,frag_laum_medio,frag_flow_medio,frag_cotistas_medio,frag_exit_rate_medio
STBP3,202301,6420,0,20.7091908274396,-0.0160192085595669,2.61131991409349,
ALSO3,202301,8896,0,20.197309858519,-0.00704947507568088,3.00087405815525,
AMER3,202301,4592,0,19.9897469050626,-0.0130094429926828,2.58152892280362,
ARML3,202301,2412,0,21.848927114855,-0.00621713823544026,2.38265828252696,
CSAN3,202301,8364,0,20.4952785449664,-0.0153718201361974,2.87045085147011,
CVCB3,202301,1630,0,21.1290745730455,-0.0227289526175279,1.92063677354245,
EQTL3,202301,10424,0,20.4986013660496,-0.0134650540070276,2.83616300202001,
GGPS3,202301,7473,0,20.1919371871165,-0.0150066112129749,2.8237266074003,
GMAT3,202301,7638,0,20.6560314992811,-0.0149745978940297,3.02122698271019,
OPCT3,202301,1173,0,19.0275976363792,-0.0231527134837058,2.85533179851931,
RENT3,202301,9452,0,20.3283446046344,-0.0182496694900112,2.88725713881036,
SLCE3,202301,7929,0,20.0434813694683,-0.020573974422818,3.31787206755343,
SOMA3,202301,9579,0,20.4272994548331,-0.013838709438425,2.88008747874352,
VIVA3,202301,8410,0,20.182113332156,-0.0132858792752405,3.00053068633464,
PETR4,202301,12547,0,20.8758741001359,-0.0102755348028212,2.94766097557146,
TFCO4,202301,3931,0,19.5343035274033,-0.0279050641990176,3.30470034279045,
UCAS3,202301,145,0,20.8893793768703,-0.00797934974482664,2.26316675835455,
CEBR3,202301,242,0,20.9277780220119,0.00464887464764926,2.78101458285019,
CASH3,202301,5213,0,19.8907476630626,0.00739586125139968,2.8306060369484,
ITSA4,202301,13432,0,20.2420130631435,-0.017361676734628,2.96076565537815,
CLSC4,202301,1472,0,21.5387882158611,-0.00120817677827894,2.18553261915133,
CEBR6,202301,44,0,21.5961981076085,-0.00306145379290246,1.44518999294746,
CPLE11,202301,2117,0,20.8984467863516,-0.012173844248496,2.33623998485398,
ALUP11,202301,3138,0,20.7522938226561,-0.00206387472901378,2.67301058958547,
CLSC3,202301,12,0,22.2707584588089,0.0113596668679714,2.17199624780595,
EQPA3,202301,2138,0,20.3751575629454,-0.00381204435507494,3.03391975595054,
CEBR5,202301,221,0,20.2828072613527,0.000800497041738468,2.93753579678671,
FIQE3,202301,1115,0,20.1634079234199,-0.00706312129143626,1.83139265605264,
PORT3,202301,2053,0,20.4426133273993,0.00623045424530198,2.65580925930056,
RECV3,202301,8729,0,20.3837949772961,-0.0121924899376076,2.93224591694922,
YDUQ3,202301,3797,0,20.0888259161807,-0.026411130069304,2.71769842453528,
VBBR3,202301,10130,0,20.4869623717697,-0.0120252863918016,2.88094119203242,
TEND3,202301,2926,0,19.450777788515,-0.0437999125117163,2.36508405521933,
SUZB3,202301,9185,0,20.486797600709,-0.0167605387734889,2.76890746765116,
SIMH3,202301,5503,0,19.3109232052958,-0.0122198468393488,3.62208209224976,
RDOR3,202301,9842,0,22.1705067668323,-0.00498272327779076,1.89058435987375,
PRIO3,202301,10299,0,20.1797768702213,-0.010926408704735,3.12095758230206,
PETZ3,202301,6469,0,19.955080031511,-0.0139477107504209,2.83357738699939,
ONCO3,202301,6624,0,20.2736249141326,-0.0129047944135741,3.02592841210237,
NTCO3,202301,9028,0,20.4124058715745,-0.0144708994101427,2.84687275317593,
NINJ3,202301,4826,0,19.8134317696137,-0.0286043332655099,2.72539412051476,
MOVI3,202301,918,0,19.2517621757024,-0.00739723152666148,2.39837126325264,
LWSA3,202301,4619,0,19.9179687945525,-0.014868454571307,3.22933096751249,
LREN3,202301,14179,0,19.9813640987917,-0.0202862099172082,3.09234767873735,
HAPV3,202301,9280,0,20.1530169236693,-0.0157916439798379,2.89975222641631,
