sinal,horizonte,r2_oos_pct,p_full,n_meses,spread_pp,t_fm,p_fm
Persist-3m,1,-0.0470776375713911,9.2136191316884e-188,23,-0.826125597555489,-0.953802375121956,0.350546987751007
Persist-3m,3,2.22453701853772,0,21,-0.558324896322397,-0.560854164753826,0.581126729522022
Persist-3m,6,0.23180996327663,8.59394124413926e-76,18,1.10195403275457,1.1915233973517,0.249818012978072
Persist-3m,12,-3.55540385347009,3.16952299266523e-08,12,0.48265022686053,0.403760955869717,0.694126755759305
Persist-6m,1,-0.0203873839453639,3.41229388127e-19,23,-0.0197417204841989,-0.0200738499528771,0.984165411786243
Persist-6m,3,0.0815908003703125,1.13367373998447e-129,21,0.730969832895964,0.851654754692429,0.404488385174686
Persist-6m,6,-1.20859538339566,6.96206422283222e-11,18,0.00764407650017991,0.00728336658141481,0.994273554265513
Persist-6m,12,0.799704494256259,6.67135747814274e-112,12,-0.615962732104231,-0.39704689375891,0.698928105100718
Persist-12m,1,-0.308940239903976,5.27486408668893e-55,23,-0.85460974290096,-0.727854737929933,0.474378545281923
Persist-12m,3,2.65473422912961,0,21,0.352965237067863,0.374831968080911,0.711730663349734
Persist-12m,6,0.269824357736859,3.99908656354235e-96,18,-0.386430833611321,-0.414758357364497,0.683505747194282
Persist-12m,12,3.10540696590859,3.07345902210133e-180,12,-0.785649571212873,-1.48490920098739,0.165651207161944
Persist-24m,1,-0.0114748182912017,8.51889714089668e-12,23,-0.262304508105189,-0.241347823600431,0.811520785186904
Persist-24m,3,-3.93041813876842,5.58260930501006e-134,21,1.02652255700617,1.3162194614525,0.2029869185263
Persist-24m,6,1.39976555198093,6.162484415981e-160,18,0.478611354376816,0.668138121119708,0.51301544788546
Persist-24m,12,-5.41115295896604,5.74654708723708e-72,12,-1.06389192578788,-1.43866251137693,0.178085584064949
Persist-36m,1,-1.05978367269193,4.40869804754152e-52,23,-1.12491561403704,-0.985438957699485,0.335122973455558
Persist-36m,3,1.57783365327711,2.03535716762269e-91,21,0.401781183483041,0.464564890747235,0.647260641943172
Persist-36m,6,0.921832651425047,4.86648773538976e-50,18,0.435980574317494,0.687602583210076,0.50097761425202
Persist-36m,12,0.591086480433578,0.00651688035103884,12,0.496891879829437,0.578808065254946,0.574379068994985
