horizonte,n_meses_fm,spread_pct,t_fm,p_fm,n_quintil_mes_min,n_quintil_mes_mediana
1,24,0.335533071194182,0.41860015523932,0.679391456895192,37,45
3,22,-1.68141452361525,-1.98186195464255,0.0607348774148353,36,44.5
6,19,1.16596708857231,1.34150268251516,0.196438418915049,34,43
