horizonte,variavel,ic_treino
1,s_peer,0.0281141109462541
1,s_hhi,0.0146509308377584
1,s_52wh,0.0713316694226154
1,s_rev,-0.00173472336883563
1,s_idiovol,-0.0650160857894955
1,s_breadth,-0.00175188034413578
1,s_dem,0.0447319107977581
1,s_efit,0.0139972492449262
3,s_peer,0.0109899528202227
3,s_hhi,0.00902201421499689
3,s_52wh,0.0870632730531081
3,s_rev,-0.0390523665465388
3,s_idiovol,-0.0643096125471763
3,s_breadth,0.00428611023871538
3,s_dem,0.0156823570613438
3,s_efit,0.0328827217025393
6,s_peer,0.0430726179487944
6,s_hhi,-0.00351397016906666
6,s_52wh,0.0887976320795344
6,s_rev,-0.0399653095201754
6,s_idiovol,-0.044752677185674
6,s_breadth,0.00183604002900316
6,s_dem,0.0375308503585029
6,s_efit,0.0211840207551323
