sinal,horizonte,n_treino,n_teste,r2_oos_pct,p_full
FIT small-cap,0,1953,1105,0.0753626974059451,0.195839961825151
FIT small-cap,1,1950,1092,0.0561048912559148,0.00742638894722366
FIT small-cap,3,1932,979,-0.691083840168427,0.176406153356578
Demanda revelada small-cap,1,1958,1103,-0.585186362985213,0.014298075276358
Demanda revelada small-cap,3,1939,990,-0.0892764352579345,0.500163052470835
Demanda revelada small-cap,6,1901,824,-0.00496936125047309,0.174715906157336
Herding small-cap,1,716,558,-0.0522553557187777,0.628115922586319
Herding small-cap,3,704,501,-0.0346562386912996,0.786850129187175
Herding small-cap,6,678,411,0.403015139141094,0.147638770894784
