estrategia,sharpe,ret_anual_pct,max_dd_pct,t,p,n_meses
"Long-only top-CIO, liquido top33%",0.259767042607304,7.12723581032045,-38.7292932665201,0.590458354327846,0.55706468057212,62
"Benchmark equal-weight, liquido top33%",0.3323030203453,9.31431393484973,-39.4218938705605,0.755334828321066,0.452954830175215,62
"EXCESSO (top-CIO menos benchmark), liquido top33%",-0.136110791518769,-2.18707812452928,-31.7546737984491,-0.309383950942256,0.75808382932242,62
"Long-only top-CIO, liquido top50%",0.120414207300616,3.40000804618774,-46.8591493508545,0.273705139677386,0.785235882582175,62
"Benchmark equal-weight, liquido top50%",0.23805991108051,6.56644109818716,-42.7159906345195,0.541117387014049,0.590397430872511,62
"EXCESSO (top-CIO menos benchmark), liquido top50%",-0.294209784807252,-3.16643305199943,-28.3549061939824,-0.668747750372068,0.506179392361289,62
"Long-only top-CIO, liquido top67%",0.22874538127641,6.13717203587287,-42.4131131325687,0.519945178698998,0.60498364307691,62
"Benchmark equal-weight, liquido top67%",0.208742915079632,5.61073200703274,-41.8714169405228,0.474478967302418,0.636852613930625,62
"EXCESSO (top-CIO menos benchmark), liquido top67%",0.0557051894866405,0.526440028840132,-18.900823569174,0.126619582613972,0.899657942898348,62
"Long-short CIO, universo liquido top33%",0.876228898194221,11.0442659812717,-15.7056069274776,1.99169482028708,0.050886896018793,62
"Long-short CIO, universo liquido top50%",0.818808053756328,8.33133610657198,-15.2611669274456,1.86117550201403,0.0675399709426109,62
