sinal,horizonte,n_meses,spread_medio_pp,t_fm,p_fm,n_min_grupo_mes,n_mediana_grupo_mes
[D sem 2020] deg_avg,6,46,0.294579933901091,0.637512775224426,0.527021471220035,16,65
[D sem 2020] eigen_cent,6,46,0.385629326761801,0.764987241049377,0.448272606845079,16,65
[D sem 2020] deg_avg,12,43,0.704352538816933,1.40770147632827,0.166578099048658,12,63.5
[D sem 2020] eigen_cent,12,43,0.967725316789575,1.92118080910192,0.0615132605649211,12,63
