ymk,ret_mkt_ew,n_tickers,ret_mkt_mediana
201601,-0.0712462403078859,254,-0.0577603284288446
201602,0.0562622540080449,369,0.0225530983139917
201603,0.123621940000342,370,0.102719660187639
201604,0.0673641944019964,371,0.0313831076345439
201605,-0.0209411212460974,369,-0.0219254110431426
201606,0.0420462272621856,365,0.0215427380125086
201607,0.151156805486589,367,0.111354111427587
201608,0.026221486029854,374,0
201609,-0.00189225041074666,372,-9.0909090909086e-05
201610,0.0574985533041632,372,0.0297597205691624
201611,-0.0416908314816692,376,-0.0391505877754705
201612,-0.00813321856701106,376,-0.00241308684923725
201701,0.094721487332461,370,0.0529662941425885
201702,0.0616447627178845,372,0.0315487427467623
201703,-0.0085097640571794,376,-0.00232509539025738
201704,0.0212040732398329,375,0.00493843768330149
201705,-0.00714143069098172,375,-0.013958048355126
201706,0.00462938440483072,375,0
201707,0.067808667783125,376,0.0403764902397484
201708,0.0600399571613675,381,0.0420173028905462
201709,0.0437427404966563,381,0.0333742833742834
201710,-0.00192138832590935,377,-0.00414931275496044
201711,-0.0312077349370617,380,-0.0330539931424353
201712,0.0321668622852177,377,0.0259740259740258
201801,0.058237879457566,380,0.0409314416278729
201802,0.00925512001306796,382,0
201803,-0.00678120928798485,378,-0.00241497169155779
201804,0.008836091013104,380,-0.0024187570136276
201805,-0.0892007137052661,377,-0.0984252128212707
201806,-0.0477429455030992,376,-0.0512277706600639
201807,0.0708418109946527,381,0.048038741962797
201808,-0.0219142607985068,381,-0.0238612411872844
201809,-0.00615876881466029,378,-0.0115875465539689
201810,0.133213426832287,378,0.101216722334446
201811,0.0264882505354565,378,0.0134642732032466
201812,0.0130081259756153,376,0.00464709598057933
201901,0.104343358397571,378,0.0813981547276188
201902,0.0057191072184718,375,-0.0148588410104012
201903,-0.00140005058488712,372,-0.0104060913705583
201904,-0.0139762808322542,371,-0.00757575757575757
201905,0.00973305218962906,376,0.00842708782020818
201906,0.0420857007363936,371,0.0399998419431509
201907,0.0772018423012659,371,0.05073086844368
201908,0.0213041422049529,369,0
201909,0.0143582925041627,367,0.00133514408376856
201910,0.00440273145900984,371,0.00150300601202402
201911,0.0390229574680579,372,0.0162078451989543
201912,0.151085207883179,370,0.116766618527042
202001,0.0397504157062888,370,0.0217392652818653
202002,-0.0710064756138724,367,-0.0796869024462824
202003,-0.298007048601481,368,-0.309142507278747
202004,0.101909105762974,367,0.0629629629629629
202005,0.0370497909141091,369,0.020512579281408
202006,0.164391533087701,371,0.113442024753361
202007,0.0680082429628139,372,0.0365439054395662
202008,-0.0147602546590663,373,-0.0217391589385491
202009,-0.0369660693234036,377,-0.0495123780945237
202010,-0.000160254863876937,384,-0.0111755945001718
202011,0.132196602325588,389,0.0932400446263815
202012,0.0799355790270949,392,0.0563165065371665
202101,-0.00446829497454677,390,-0.0359757633952886
202102,-0.0304943578229516,394,-0.0558198171266838
202103,0.0640309158327719,405,0.0447761510748812
202104,0.0904863532454766,405,0.0402761811500574
202105,0.062456657286631,412,0.0437396655935235
202106,0.0491985280159048,414,0.014947186989873
202107,-0.0458337876032092,411,-0.0453797586382905
202108,-0.0458267320527214,422,-0.0442726173812724
202109,-0.0675705382176691,423,-0.0700081737277987
202110,-0.0945491618171288,422,-0.0864656042442434
202111,-0.0293818049932431,425,-0.0276240681382944
202112,0.0358125895864133,423,0.0242105227683755
202201,-0.0541348501250339,321,-0.047368445210774
