sinal,horizonte,n_meses,spread_medio_pp,t_fm,p_fm
FIT small-cap,0,23,-0.0517166679067339,-0.0233454415297523,0.981585181450318
FIT small-cap,1,22,1.7278753935285,0.925709700139482,0.365113579223392
FIT small-cap,3,22,3.95135745920356,1.49362435720073,0.150147817618512
Demanda revelada small-cap,1,46,-0.650315895411653,-0.348912637239574,0.728782243017069
Demanda revelada small-cap,3,44,-0.719266851062359,-0.59677336957379,0.55378797370359
Demanda revelada small-cap,6,42,-1.05341566815488,-0.784795027496016,0.437085090249155
Herding small-cap,1,30,1.31374238404824,0.562466131151908,0.578120928070729
Herding small-cap,3,30,-4.54195370901338,-1.06032801409258,0.297746970912375
Herding small-cap,6,26,-1.02906272541413,-0.361032306403706,0.721108342549754
