ym,n,(Intercept),peer_ret_z,log_tamanho_z,beta_z,ret_proprio_z
202001,254,-0.0782080125793843,0.00611081367054609,-0.0070159781631457,-0.0193080755397428,0.0103237865529538
202002,254,-0.319918308983985,0.0298611018985819,-0.0304919698564067,-0.0368664056751106,0.0170480140827645
202003,251,0.110711134094651,0.00587868708439902,-0.0035746481338893,-0.0301736583282697,-0.102524151255367
202004,250,0.0498524730565542,0.00697430389889856,0.0160833175948081,0.0143677924035072,-0.0123303166940785
202005,250,0.145411887953625,0.00982151535248612,-0.0219942555650754,0.0663928920874102,-0.0328863352981248
202006,258,0.06737504701988,-0.000711464273353684,0.0182830416362373,-0.000873536449462208,0.00999948434771984
202007,258,-0.0200111969260552,0.00144870015525886,0.00199365400782679,-0.0180399355374531,-0.00581301594348974
202008,255,-0.0415618821037409,0.00134652222382575,-0.0154707039694019,-0.0135483118081393,-0.0055285168796216
202009,261,-0.00599149606913114,-0.0177088192216057,-0.038224669836586,-0.00271777076219297,0.0205888761600246
202010,258,0.135350460635472,-0.00114773085360981,0.00526739958968147,0.0317558754810191,-0.0193707491582327
202011,255,0.0860939264406503,-0.00520132320529982,-0.0175071040077018,-0.00261567281403745,0.0107568029857656
202012,255,-0.0285516219296537,0.0129835637026462,-0.00167594008269132,-0.0169139630148955,-4.95750669644507e-06
202101,267,-0.0302485427030456,0.00870345147977173,0.0012405667344504,-0.00395094075740942,0.0244579415662647
202102,276,0.0799600104937941,0.0154887999004753,-0.0359595347492761,0.0167687833133409,-0.00230642623934432
202103,275,0.0844749392332239,0.00419904422260309,-0.0235645140208249,0.00295286003476908,0.0200376259876314
202104,279,0.0554391882271261,0.019710192662446,-0.00468242702697485,-0.00517726883140303,-0.00494938449060259
202105,281,0.0371637321878469,0.0261353646366053,-0.0200561041445492,-0.00404457921727602,-0.0131141274390664
202106,284,-0.0478378998584372,0.00132438546150402,-0.0112295623699719,-0.00466546458439576,-0.0137993366382247
202107,284,-0.0371928470494079,0.0121743796188891,0.00940263267880376,-0.00381282591713726,0.0169661302169902
202108,287,-0.0612966833531478,-0.00631838738903193,0.00243101441687773,-0.013975817945249,0.00394924654842767
202109,289,-0.0904704895473748,0.0218750795194805,-0.0170777914731599,-0.0207634019483696,-0.00332150195283529
202110,289,-0.0266849180050674,-0.00450051362162979,0.0122784621548345,-0.00408242328948162,-0.0058681797146089
202111,292,0.0401000548898836,-0.00425962478545384,0.00222711220387184,0.0159332376380614,-0.0018418309461375
202112,65,0.0588273459527661,-0.0202833900090507,-0.0265073415624102,0.0110168008406022,0.00150599328976594
202201,72,-0.0370706263685927,-0.0184598851958439,-0.0142212413435236,-0.0198299377428384,-0.0140756103339769
202203,359,-0.076401164285326,0.00815908821351485,-0.015689917037031,-0.0266929571840173,0.0142954658359423
202205,364,-0.135969548685142,0.0122552804513283,-0.0075552575999447,-0.0377256144201796,0.0147790934772132
202206,365,0.0636821314808268,-0.0206097410844648,0.000333823095501002,0.00638090963381691,-0.0183707314811812
202208,370,-0.00478710001933089,-0.00882640122200414,-0.00327136826321853,-0.00711954288157439,0.00417418594046428
202209,377,0.0411913374615467,-0.00259251996337091,0.0277961527900547,0.00166131593339068,-0.00771116562382306
202210,379,-0.0829576118801283,-0.0162746677561404,0.00890519204329479,-0.0490523615872404,0.00374663483457082
202211,379,-0.021904624643653,-0.00816105083747139,-0.0171108860778165,0.00768669443939745,0.0218256487988439
202301,439,0.104277365575714,-0.0166575900092386,0.173147013068233,-0.341977434953246,-0.0766190895852864
202302,443,-0.0170387233181447,-0.00250047835026683,-0.00973819235809281,-0.0347009820859357,0.0330591191551008
202303,437,0.0383394989570069,0.0184004855921774,-0.0286176187255817,-0.0496609047272483,-0.0321263020808008
202305,437,0.110335807279655,0.0214348089223243,-0.0131864415026575,0.027172346223744,0.016156205817379
202306,439,0.0240996672957967,0.00174773536350686,0.00860664079488601,0.0207137659006552,-0.0254467101615266
202307,434,-0.0349128979593718,-0.00568217095637561,-0.0171751641621747,-0.0400870785435668,0.00567876812649346
202308,441,-0.0124431779477818,0.00587764035824869,0.00269302250928528,-0.0118102251935875,0.0540896292266351
202310,433,0.110113671907603,-0.01686209456374,0.0159459769330623,0.0312157456226768,-0.00725993188145299
202311,426,0.0724845435334609,-0.0132988049184896,0.00855197436430553,0.00328233452604265,0.024034701237425
202401,429,0.0158660992128404,0.00511551554307091,0.00981495320583732,0.0141838956058427,0.0123395235793415
202402,431,0.00979165911253239,-0.00489963921413467,0.0126739930114982,-0.00728096205329143,-0.00734926455589922
202404,421,-0.0364878548067627,-0.010907497708604,0.00984837579720179,-0.00943830039751243,0.00594291035609157
202405,416,-0.0141842023722191,0.00468218838966876,0.0134818454441199,-0.0200718051260941,-0.00022982929764396
202407,418,0.0451884207413032,-0.012621098354869,0.0117864622869789,0.000578655988247078,-0.00437172489741795
202409,407,0.00332620890944132,-0.0227125073237791,-0.00738882122106573,0.0406907075003641,-0.0184017404303464
202410,404,-0.0332828533991136,-0.00158127363108435,-0.00538112090953601,-0.0157507191688437,0.00654183310527963
202412,398,0.0510167758922853,-0.00709101957456902,0.00445247256875495,0.00809773956686603,-0.0265936037362458
202501,398,-0.0297955329863474,-0.0116287428764823,0.00277017638294253,-0.00449746338667015,-0.0102183701084149
202502,397,0.0479931724493504,-0.00268946284414004,0.00495056235565638,0.0130402773797244,-0.00402675072783133
202503,398,0.0530853434957872,0.0130737967148989,0.0133544141271203,0.0139949728642003,-0.00409236170911359
202504,393,0.0433852596867996,-0.00442779858277887,0.00569710716979074,0.0136363348789229,0.0166203707659619
202506,389,-0.0445970032609432,0.0159947082416031,-0.0115687374604897,-0.028265480591198,-0.0136845915550706
202507,391,0.0422711404376402,0.0111676117594704,0.0162315603985564,0.0247372378038748,0.00462819341465235
202509,386,0.0128695099562363,0.00825276594340835,0.00727376947905044,-0.00867455379620071,0.00652326916754251
202510,384,0.0356699793102088,0.0117552855114643,0.0136657378724305,0.0069156864344128,0.047485253433435
202512,369,0.0763217788175458,0.00367286071058755,0.0144898144367337,0.0170170115505655,0.026506827494533
202603,352,-0.011431883494936,0.000475391812766638,0.00627651449896136,-0.00412625348320503,0.0141342007260095
202604,338,-0.0541724871023522,0.0110650837273278,-0.00141153014428809,-0.00594730565660164,-0.00357360141106277
202606,304,0.000139996177800661,0.00536890276757181,0.00541153947259409,0.0193454270186471,-0.0214213135835638
202607,600,-0.0277618274320698,0.000604329632681353,-0.00187426905379038,-0.0088663311953712,-0.00517285574594818
