sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
"Dispersao (CV peso, simples)",1,24,44,-0.0596585836269416,-0.0498808019449131,-0.0705421066125424,0.944371969554094,FALSE
"Dispersao (CV peso, simples)",3,22,44,0.532749519927127,0.53758873958271,0.727898594378296,0.47471420523376,FALSE
"Dispersao (CV peso, simples)",6,19,44,0.782389189383739,0.709283161202976,0.892495072467987,0.38390430379561,FALSE
"Dispersao (CV peso, simples)",12,13,37,1.45063553141511,1.10570950090785,1.15085893666327,0.272206798820104,FALSE
"Dispersao (CV peso, ponderado AUM)",1,24,44,0.431519169265376,0.414125492264228,0.585661887684505,0.563805894333369,FALSE
"Dispersao (CV peso, ponderado AUM)",3,22,44,0.832189560586082,0.875752249404301,1.18577415118448,0.248955659511802,FALSE
"Dispersao (CV peso, ponderado AUM)",6,19,44,0.738028415650416,0.776957975436849,0.977650679618562,0.341204762514572,FALSE
"Dispersao (CV peso, ponderado AUM)",12,13,37,1.50074711530246,1.51685902304624,1.57879692712938,0.140366870162323,FALSE
