ym,densidade,n_tickers_mes,ret_mercado,ret_mercado_prox
201701,0.0548707266786665,265,0.0947214873324611,0.0616447627178845
201702,0.0534118559406852,273,0.0616447627178845,-0.0085097640571794
201703,0.0530217767079454,275,-0.0085097640571794,0.0212040732398329
201704,0.0572066257101747,274,0.0212040732398329,-0.0071414306909817
201705,0.0574053504823844,273,-0.0071414306909817,0.00462938440483072
201706,0.058184528347473,273,0.00462938440483072,0.0678086677831249
201707,0.0616308406777477,271,0.0678086677831249,0.0600399571613675
201708,0.0610950941970768,273,0.0600399571613675,0.0437427404966563
201709,0.0637445757178406,285,0.0437427404966563,-0.00192138832590935
201710,0.0628311307200701,277,-0.00192138832590935,-0.0312077349370617
201711,0.0633240763232455,281,-0.0312077349370617,0.0321668622852177
201712,0.0615836969977429,278,0.0321668622852177,0.0582378794575661
201801,0.0605128718932033,284,0.0582378794575661,0.00925512001306796
201802,0.0573471391580602,287,0.00925512001306796,-0.00678120928798485
201803,0.0633130085639514,287,-0.00678120928798485,0.008836091013104
201804,0.0627798727754813,290,0.008836091013104,-0.089200713705266
201805,0.0622461183737961,285,-0.089200713705266,-0.0477429455030992
201806,0.0623264612528565,281,-0.0477429455030992,0.0708418109946527
201807,0.0638300102591625,278,0.0708418109946527,-0.0219142607985068
201808,0.0603250926982032,283,-0.0219142607985068,-0.00615876881466029
201809,0.0638533420016818,280,-0.00615876881466029,0.133213426832287
201810,0.0682368550427874,278,0.133213426832287,0.0264882505354565
201811,0.066966263275932,278,0.0264882505354565,0.0130081259756153
201812,0.0693138409453289,279,0.0130081259756153,0.104343358397571
201901,0.0738868455382947,278,0.104343358397571,0.00571910721847182
201902,0.0725566439513357,276,0.00571910721847182,-0.00140005058488712
201903,0.0717300700160779,277,-0.00140005058488712,-0.0139762808322542
201904,0.0693108206051445,281,-0.0139762808322542,0.00973305218962906
201905,0.0702482000199219,280,0.00973305218962906,0.0420857007363936
201906,0.0740253034221923,269,0.0420857007363936,0.0772018423012659
201907,0.0742509242705615,274,0.0772018423012659,0.0213041422049529
201908,0.0730954552412878,270,0.0213041422049529,0.0143582925041627
201909,0.0773791497034998,264,0.0143582925041627,0.00440273145900983
201910,0.0781168952457093,264,0.00440273145900983,0.0390229574680579
201911,0.0737687925363993,266,0.0390229574680579,0.151085207883179
201912,0.0745385201648014,274,0.151085207883179,0.0397504157062889
202001,0.0755103497945099,272,0.0397504157062889,-0.0710064756138724
202002,0.0724274741631711,280,-0.0710064756138724,-0.298007048601482
202003,0.0715418625876768,279,-0.298007048601482,0.101909105762974
202004,0.0736659857832132,274,0.101909105762974,0.0370497909141091
202005,0.0717543487987372,273,0.0370497909141091,0.164391533087701
202006,0.0685744429398614,278,0.164391533087701,0.068008242962814
202007,0.0716868245723261,278,0.068008242962814,-0.0147602546590663
202008,0.0686624956583894,276,-0.0147602546590663,-0.0369660693234036
202009,0.0673047865383087,290,-0.0369660693234036,-0.000160254863876937
202010,0.0669008144527538,290,-0.000160254863876937,0.132196602325588
202011,0.0701418895512799,290,0.132196602325588,0.0799355790270949
202012,0.0738967527770007,290,0.0799355790270949,-0.00446829497454677
202101,0.0725278869653359,302,-0.00446829497454677,-0.0304943578229516
202102,0.0681548000187036,325,-0.0304943578229516,0.0640309158327719
202103,0.0683803005477348,326,0.0640309158327719,0.0904863532454766
202104,0.0696006847383594,336,0.0904863532454766,0.062456657286631
202105,0.0695611124515611,344,0.062456657286631,0.0491985280159048
202106,0.0647806276317412,346,0.0491985280159048,-0.0458337876032091
202107,0.0663177992227046,357,-0.0458337876032091,-0.0458267320527214
202108,0.0672286195785403,355,-0.0458267320527214,-0.0675705382176691
202109,0.0694632208890207,355,-0.0675705382176691,-0.0945491618171289
202110,0.0683245243287837,356,-0.0945491618171289,-0.0293818049932431
202111,0.0687944505602121,357,-0.0293818049932431,0.0358125895864133
202112,0.0673354822547697,360,0.0358125895864133,0.0621540710977738
202201,0.0624616896081594,347,0.0621540710977738,0.0663945018312902
202203,0.0641723642054313,335,0.0663945018312902,-0.0146019437080828
202205,0.0615020292134176,335,-0.0146019437080828,-0.130088778421609
202206,0.0621091829466503,325,-0.130088778421609,0.0668068492626818
202208,0.0609410914895554,323,0.0668068492626818,1.87168811694988e-05
202209,0.0601441173788001,325,1.87168811694988e-05,0.0344623683832238
202210,0.0597644997666926,324,0.0344623683832238,-0.077351329173794
202211,0.0581034695392381,323,-0.077351329173794,0.03896531476562
202301,0.0290822489253766,367,0.03896531476562,0.0275227914486328
202302,0.028040495247173,367,0.0275227914486328,-0.0180167587364034
202303,0.0288805850332897,363,-0.0180167587364034,0.102590144759302
202305,0.028606382579341,362,0.102590144759302,0.119870896698084
202306,0.0298373635766692,360,0.119870896698084,0.0258281892904477
202307,0.0293100964332854,358,0.0258281892904477,-0.0402164534998683
202308,0.0277926419017047,361,-0.0402164534998683,-0.0623755047527393
202310,0.0273806257656385,356,-0.0623755047527393,0.108978803027398
202311,0.0285278572187184,352,0.108978803027398,-0.0445551518719012
202401,0.0270145377270327,356,-0.0445551518719012,0.0156234757184725
202402,0.0259654212099489,355,0.0156234757184725,-0.0398917273687226
202404,0.0259977824182038,346,-0.0398917273687226,-0.0371202836721133
202405,0.0258507934517108,347,-0.0371202836721133,0.0384272233031545
202407,0.0256269996797992,346,0.0384272233031545,-0.0327123290999214
202409,0.0251554031492246,339,-0.0327123290999214,0.00678125031269969
202410,0.0248097914202993,337,0.00678125031269969,-0.05481564233693
202412,0.0231425247735431,335,-0.05481564233693,0.0481790019972137
202501,0.0238331195887201,335,0.0481790019972137,-0.0337652511799907
202502,0.0245662471256418,333,-0.0337652511799907,0.0499046233339404
202503,0.023461770645367,334,0.0499046233339404,0.0487515856559205
202504,0.0239525699888824,333,0.0487515856559205,-0.0164313497316783
202506,0.0242232291216262,325,-0.0164313497316783,-0.0431152940703062
202507,0.0245779268065946,321,-0.0431152940703062,0.0212407863923998
202509,0.0238765577299702,324,0.0212407863923998,0.00684712561579406
202510,0.0223485900438339,319,0.00684712561579406,0.00968657103465195
202512,0.0204999545162172,314,0.00968657103465195,-0.0420642580698038
202603,0.0258825393083893,291,-0.0420642580698038,-0.00780139698533468
