sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Iniciacao liquida,1,24,44,0.119058499926737,0.113146474721345,0.160013279085631,0.874267605458423,FALSE
Iniciacao liquida,3,22,43,-0.318584161377344,-0.318976509934868,-0.431896236147935,0.670218881596371,FALSE
Iniciacao liquida,6,19,42,0.0739296696641477,0.073664085977814,0.0926919421596742,0.927172179521452,FALSE
Choque de valor (z proprio),1,24,35,-0.199117594699208,-0.172643610062889,-0.24415493480799,0.809275662967567,FALSE
Choque de valor (z proprio),3,22,33,0.433066925280662,0.42838698122573,0.580038714587315,0.568060530687122,FALSE
Choque de valor (z proprio),6,19,31,0.735262300862787,0.80972305002916,1.01887916102377,0.321760374082212,FALSE
Choque de valor (magnitude |z|),1,24,35,-0.000777587845975352,-0.000914698405785543,-0.00129357889094296,0.998979028199779,FALSE
Choque de valor (magnitude |z|),3,22,33,0.587582632142616,0.607444907671582,0.82248429310408,0.42004287834231,FALSE
Choque de valor (magnitude |z|),6,19,31,0.527963742817077,0.845499496002371,1.06389686832046,0.30144029368866,FALSE
