sinal,horizonte,n_meses,spread_medio_pp,t_fm,p_fm,n_min_grupo_mes,n_mediana_grupo_mes
[C] deg_avg_rank,1,62,-0.111400943845285,-0.24739987333541,0.805429596522201,17,66
[C] eigen_cent_rank,1,62,-0.271327860391126,-0.571301898161074,0.569894038839458,17,65.5
[C] deg_avg_rank,3,60,0.657333508657815,0.605513358467415,0.547160223796087,17,65
[C] eigen_cent_rank,3,60,0.690709577507582,0.629334558723688,0.531559460007245,17,65
[C] deg_avg_rank,6,58,-0.162726510191258,-0.374149684364338,0.709681202629624,16,64
[C] eigen_cent_rank,6,58,-0.274323767671288,-0.585151029622482,0.560755609987656,16,64
[C] deg_avg_rank,12,55,0.0894509094833408,0.190190373130435,0.849873130584555,12,62
[C] eigen_cent_rank,12,55,0.182243310097285,0.360844682057084,0.719623396792873,12,62
