sinal,horizonte,n_meses,n_min_setores_perna,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Fluxo institucional setorial 1m,1,24,6,0.520352931035362,0.462827226305041,0.654536540476111,0.519258554110577,FALSE
Fluxo institucional setorial 1m,3,22,6,-0.176155140186858,-0.194495229860962,-0.263347786151493,0.79484923409797,FALSE
Fluxo institucional setorial 1m,6,19,6,0.544188557441083,0.444645493530724,0.559499976424369,0.582716337771908,FALSE
Fluxo institucional setorial 3m,1,24,6,0.278570784733261,0.259807583463129,0.367423408140936,0.716662501786838,FALSE
Fluxo institucional setorial 3m,3,22,6,-0.396072530997512,-0.400096835419602,-0.541733676087027,0.59370387869932,FALSE
Fluxo institucional setorial 3m,6,19,6,-0.0163987689793569,-0.0130733644609063,-0.0164502895319659,0.987056129599118,FALSE
Nivel de share setorial (capital ja' alocado),1,24,6,-0.793992131270823,-0.878561228248909,-1.24247320436477,0.226581242458662,FALSE
Nivel de share setorial (capital ja' alocado),3,22,6,-0.510734710377071,-0.757632153275225,-1.02583878496583,0.316639762156379,FALSE
Nivel de share setorial (capital ja' alocado),6,19,6,-0.669524147103348,-0.905319514183799,-1.13916874051791,0.26956668860464,FALSE
