sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
"|Delta HHI 3m>0 (crescente), magnitude",1,39,6,0.0879638742819005,0.0779930522230659,0.140603974460102,0.888925496243313,FALSE
"|Delta HHI 3m>0 (crescente), magnitude",3,39,7,0.726958143911821,0.357606271119258,0.644683873473982,0.523005177712727,FALSE
"|Delta HHI 3m>0 (crescente), magnitude",6,39,6,-0.119653301853022,-0.0914427874778873,-0.16485082951144,0.869935224931686,FALSE
"|Delta HHI 3m<0 (caindo), magnitude",1,39,7,-0.667598795745591,-0.514680734196847,-0.927853888820092,0.359339694048258,FALSE
"|Delta HHI 3m<0 (caindo), magnitude",3,39,6,0.665724990686543,0.459266205443347,0.827953926406884,0.412866416894318,FALSE
"|Delta HHI 3m<0 (caindo), magnitude",6,39,6,-0.748477090397779,-0.622324193773798,-1.12191089530661,0.26893972773306,FALSE
Dummy direcao HHI (crescente-caindo),1,39,,-0.254941596848198,-0.432204753675914,-0.779168200438896,0.440706283897542,FALSE
Dummy direcao HHI (crescente-caindo),3,39,,-0.823932550997758,-0.427776879213828,-0.771185736231711,0.445365899951587,FALSE
Dummy direcao HHI (crescente-caindo),6,39,,-0.116681667756102,-0.167818405435887,-0.302538932882848,0.763891162946006,FALSE
