ticker,hhi_posse,n_fundos,ret_evento,ret_pos3,n_meses_pos3,vol_pos6,n_meses_pos6,evento,mes_evento_num
AALR3,0.0542126907791177,404,-0.0457481458349598,-0.0750140254573368,3,0.0383867661858647,6,Joesley Day (mai/2017),201705
ABCB4,0.0581048219523186,435,-0.0258137478153098,0.0201047151980096,3,0.0514225594662342,6,Joesley Day (mai/2017),201705
ABEV3,0.0126315645492085,898,0.0246440686680556,0.0708579027478224,3,0.0334118112393868,6,Joesley Day (mai/2017),201705
ALPA4,0.077510190197672,600,-0.0994342312002887,0.166551125134712,3,0.0920340182804253,6,Joesley Day (mai/2017),201705
ALSC3,0.031084314572244,626,-0.0875912408759124,0.265454545454545,3,0.067490102051142,6,Joesley Day (mai/2017),201705
ALUP11,0.0261551194017594,762,-0.0557031348666264,0.0505619584899222,3,0.0279285529816061,6,Joesley Day (mai/2017),201705
ALUP3,0.107404991600242,30,0.0184613255225414,-0.0332325471524281,3,0.107654373844068,6,Joesley Day (mai/2017),201705
ALUP4,0.0775081653032842,134,-0.131249732635866,-0.0197843999415092,3,0.0438362194587293,6,Joesley Day (mai/2017),201705
AMAR3,0.089681887156728,345,-0.217964068626658,0.0918836993638796,3,0.219332506090908,6,Joesley Day (mai/2017),201705
ANIM3,0.0357466164093466,353,0.216417869992298,0.147239306262371,3,0.081315892231804,6,Joesley Day (mai/2017),201705
ARZZ3,0.0486300028099195,581,-0.0477744807121662,0.426612651916484,3,0.111824241897534,6,Joesley Day (mai/2017),201705
AZUL4,0.0308137467894716,614,-0.0154424040066778,0.12547689699025,3,0.0873514367745325,6,Joesley Day (mai/2017),201705
BBAS3,0.551254789487746,949,-0.131334852704266,0.0936652974324885,3,0.0972151580669748,6,Joesley Day (mai/2017),201705
BBDC3,0.0196459609935428,738,-0.0853526944607034,0.201936691490777,3,0.061934913726059,6,Joesley Day (mai/2017),201705
BBDC4,0.0126740046125054,1047,-0.0933731308423578,0.230928381260734,3,0.0616392829014475,6,Joesley Day (mai/2017),201705
BBRK3,0.113008103037361,81,-0.0552147239263803,-0.357142857142858,3,0.168290969163149,6,Joesley Day (mai/2017),201705
BBSE3,0.0142298563667723,921,-0.0264300452804969,-0.0177788599042003,3,0.0356616675979799,6,Joesley Day (mai/2017),201705
BEEF3,0.0666663677746581,616,0.0811879613959938,0.0604395362003429,3,0.0715713683452556,6,Joesley Day (mai/2017),201705
BPAC11,0.184085627047723,62,-0.213888872826149,0.20778905052886,3,0.111656184249739,6,Joesley Day (mai/2017),201705
BRAP3,0.099606713313083,429,-0.0402648911422816,0.356896785852095,3,0.100843943991107,6,Joesley Day (mai/2017),201705
BRAP4,0.0332579896204615,913,-0.0367758836309523,0.405857709191438,3,0.0952111184035551,6,Joesley Day (mai/2017),201705
BRFS3,0.0191504976263378,925,0.0887157577280724,-0.0184672206832873,3,0.107305846506955,6,Joesley Day (mai/2017),201705
BRGE3,0.138168175493564,136,0.0120481927710843,0.0357142857142858,3,0.115926220807495,5,Joesley Day (mai/2017),201705
BRIV3,0.554881657069127,137,-0.0415800415800415,0.019522776572668,3,0.069264005121621,6,Joesley Day (mai/2017),201705
BRKM3,0.8809648441126,16,-0.0184564345028989,0.261538635167915,3,0.124645452413446,6,Joesley Day (mai/2017),201705
