sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Delta HHI 3m (nivel abs.),1,39,13,-0.40468501719924,-0.405670699866281,-0.73133325466062,0.469061668310506,FALSE
Delta HHI 3m (nivel abs.),3,39,13,-1.52406436930429,-0.406157558774345,-0.732210952039091,0.468532101499693,FALSE
Delta HHI 3m (nivel abs.),6,39,11,0.384060153272422,0.291053064856957,0.524703374611352,0.60283726397077,FALSE
Delta HHI 6m (nivel abs.),1,39,13,-0.233126406032651,-0.207772045985509,-0.374566382704407,0.710065234208716,FALSE
Delta HHI 6m (nivel abs.),3,39,13,-2.1243475461792,-0.586053018137683,-1.05652210351792,0.297400530508806,FALSE
Delta HHI 6m (nivel abs.),6,39,11,0.169436395011424,0.129709618642453,0.233837340468122,0.816366488340013,FALSE
Delta HHI 3m (%),1,39,13,-0.419754084368438,-0.46687241189926,-0.841666210101163,0.405240622648829,FALSE
Delta HHI 3m (%),3,39,13,-1.17622382545318,-0.318223304382292,-0.573685220498969,0.569560928873399,FALSE
Delta HHI 3m (%),6,39,11,-0.350194136436812,-0.322539202068768,-0.581465815703092,0.564360076377012,FALSE
